arm,task,task_type,fraction,pct,n_train,subsample_seed,head_seed,metric,split,value
random,ESOL,regression,0.05,5,45,0,0,rmse,test,1.5711209774017334
random,ESOL,regression,0.05,5,45,0,0,rmse,train,0.5100204944610596
random,ESOL,regression,0.05,5,45,0,1,rmse,test,1.6086997985839844
random,ESOL,regression,0.05,5,45,0,1,rmse,train,0.6673227548599243
random,ESOL,regression,0.05,5,45,0,2,rmse,test,1.619841456413269
random,ESOL,regression,0.05,5,45,0,2,rmse,train,0.4827721714973449
random,ESOL,regression,0.05,5,45,1,0,rmse,test,1.31499445438385
random,ESOL,regression,0.05,5,45,1,0,rmse,train,0.3721734285354614
random,ESOL,regression,0.05,5,45,1,1,rmse,test,1.3669832944869995
random,ESOL,regression,0.05,5,45,1,1,rmse,train,0.3590596318244934
random,ESOL,regression,0.05,5,45,1,2,rmse,test,1.4444434642791748
random,ESOL,regression,0.05,5,45,1,2,rmse,train,0.4222137629985809
random,ESOL,regression,0.05,5,45,2,0,rmse,test,1.7487531900405884
random,ESOL,regression,0.05,5,45,2,0,rmse,train,0.9273617267608644
random,ESOL,regression,0.05,5,45,2,1,rmse,test,1.7677510976791382
random,ESOL,regression,0.05,5,45,2,1,rmse,train,0.9422193169593812
random,ESOL,regression,0.05,5,45,2,2,rmse,test,1.7950283288955688
random,ESOL,regression,0.05,5,45,2,2,rmse,train,0.895739734172821
random,ESOL,regression,0.1,10,90,0,0,rmse,test,1.2232455015182495
random,ESOL,regression,0.1,10,90,0,0,rmse,train,0.7030668258666992
random,ESOL,regression,0.1,10,90,0,1,rmse,test,1.239894151687622
random,ESOL,regression,0.1,10,90,0,1,rmse,train,0.6483279466629028
random,ESOL,regression,0.1,10,90,0,2,rmse,test,1.2237839698791504
random,ESOL,regression,0.1,10,90,0,2,rmse,train,0.6187375783920288
random,ESOL,regression,0.1,10,90,1,0,rmse,test,1.3475139141082764
random,ESOL,regression,0.1,10,90,1,0,rmse,train,0.6582596898078918
random,ESOL,regression,0.1,10,90,1,1,rmse,test,1.3310762643814087
random,ESOL,regression,0.1,10,90,1,1,rmse,train,0.5516827702522278
random,ESOL,regression,0.1,10,90,1,2,rmse,test,1.3743481636047363
random,ESOL,regression,0.1,10,90,1,2,rmse,train,0.6584874987602234
random,ESOL,regression,0.1,10,90,2,0,rmse,test,1.594613552093506
random,ESOL,regression,0.1,10,90,2,0,rmse,train,0.7287704348564148
random,ESOL,regression,0.1,10,90,2,1,rmse,test,1.543821096420288
random,ESOL,regression,0.1,10,90,2,1,rmse,train,0.7657912373542786
random,ESOL,regression,0.1,10,90,2,2,rmse,test,1.4410406351089478
random,ESOL,regression,0.1,10,90,2,2,rmse,train,0.3721034824848175
random,ESOL,regression,0.25,25,226,0,0,rmse,test,1.33417809009552
random,ESOL,regression,0.25,25,226,0,0,rmse,train,0.6197994351387024
random,ESOL,regression,0.25,25,226,0,1,rmse,test,1.3409245014190674
random,ESOL,regression,0.25,25,226,0,1,rmse,train,0.7052902579307556
random,ESOL,regression,0.25,25,226,0,2,rmse,test,1.3362908363342283
random,ESOL,regression,0.25,25,226,0,2,rmse,train,0.6952791810035706
random,ESOL,regression,0.25,25,226,1,0,rmse,test,1.245546579360962
random,ESOL,regression,0.25,25,226,1,0,rmse,train,0.7230762243270874
random,ESOL,regression,0.25,25,226,1,1,rmse,test,1.2598254680633545
random,ESOL,regression,0.25,25,226,1,1,rmse,train,0.4418617486953735
random,ESOL,regression,0.25,25,226,1,2,rmse,test,1.2488068342208862
random,ESOL,regression,0.25,25,226,1,2,rmse,train,0.6379919648170471
random,ESOL,regression,0.25,25,226,2,0,rmse,test,1.3367230892181396
random,ESOL,regression,0.25,25,226,2,0,rmse,train,0.5311278104782104
random,ESOL,regression,0.25,25,226,2,1,rmse,test,1.391824722290039
random,ESOL,regression,0.25,25,226,2,1,rmse,train,0.6040287017822266
random,ESOL,regression,0.25,25,226,2,2,rmse,test,1.3378372192382812
random,ESOL,regression,0.25,25,226,2,2,rmse,train,0.4715912938117981
random,ESOL,regression,0.5,50,451,0,0,rmse,test,1.34048330783844
random,ESOL,regression,0.5,50,451,0,0,rmse,train,0.7748499512672424
random,ESOL,regression,0.5,50,451,0,1,rmse,test,1.324074387550354
random,ESOL,regression,0.5,50,451,0,1,rmse,train,0.7342638969421387
random,ESOL,regression,0.5,50,451,0,2,rmse,test,1.3637288808822632
random,ESOL,regression,0.5,50,451,0,2,rmse,train,0.8680000901222229
random,ESOL,regression,0.5,50,451,1,0,rmse,test,1.289453625679016
random,ESOL,regression,0.5,50,451,1,0,rmse,train,0.8123878240585327
random,ESOL,regression,0.5,50,451,1,1,rmse,test,1.236302375793457
random,ESOL,regression,0.5,50,451,1,1,rmse,train,0.7213420271873474
random,ESOL,regression,0.5,50,451,1,2,rmse,test,1.4127763509750366
random,ESOL,regression,0.5,50,451,1,2,rmse,train,1.081067442893982
random,ESOL,regression,0.5,50,451,2,0,rmse,test,1.3432927131652832
random,ESOL,regression,0.5,50,451,2,0,rmse,train,0.810413122177124
random,ESOL,regression,0.5,50,451,2,1,rmse,test,1.272300124168396
random,ESOL,regression,0.5,50,451,2,1,rmse,train,0.9315284490585328
random,ESOL,regression,0.5,50,451,2,2,rmse,test,1.3206623792648315
random,ESOL,regression,0.5,50,451,2,2,rmse,train,0.8153492212295532
random,ESOL,regression,1.0,100,902,0,0,rmse,test,1.2742078304290771
random,ESOL,regression,1.0,100,902,0,0,rmse,train,0.9497997760772704
random,ESOL,regression,1.0,100,902,0,1,rmse,test,1.270810842514038
random,ESOL,regression,1.0,100,902,0,1,rmse,train,0.8498722910881042
random,ESOL,regression,1.0,100,902,0,2,rmse,test,1.2059755325317385
random,ESOL,regression,1.0,100,902,0,2,rmse,train,0.8209982514381409
random,Lipophilicity,regression,0.05,5,168,0,0,rmse,test,1.1348286867141724
random,Lipophilicity,regression,0.05,5,168,0,0,rmse,train,0.4762783348560333
random,Lipophilicity,regression,0.05,5,168,0,1,rmse,test,1.1371625661849976
random,Lipophilicity,regression,0.05,5,168,0,1,rmse,train,0.8327574729919434
random,Lipophilicity,regression,0.05,5,168,0,2,rmse,test,1.0963683128356934
random,Lipophilicity,regression,0.05,5,168,0,2,rmse,train,0.8231666088104248
