arm,task,task_type,metric,split,fraction,pct,n_train,mean,std,n_cells
e2e,BACE,classification,nef1,test,0.05,5,60,0.5,0.4330127018922193,9
e2e,BACE,classification,nef1,test,0.1,10,121,0.7777777777777778,0.3632415786283894,9
e2e,BACE,classification,nef1,test,0.25,25,302,0.8333333333333334,0.3535533905932738,9
e2e,BACE,classification,nef1,test,0.5,50,605,1.0,0.0,9
e2e,BACE,classification,nef1,test,1.0,100,1210,1.0,0.0,3
e2e,BACE,classification,roc_auc,test,0.05,5,60,0.572181964573269,0.1028685402689482,9
e2e,BACE,classification,roc_auc,test,0.1,10,121,0.6324074074074074,0.0846603659154869,9
e2e,BACE,classification,roc_auc,test,0.25,25,302,0.7065519323671497,0.0387233557892408,9
e2e,BACE,classification,roc_auc,test,0.5,50,605,0.730414653784219,0.0355259228883223,9
e2e,BACE,classification,roc_auc,test,1.0,100,1210,0.7245169082125603,0.0370122410191844,3
e2e,BACE,classification,roc_auc,train,0.05,5,60,0.6816024114658865,0.1185486710112558,9
e2e,BACE,classification,roc_auc,train,0.1,10,121,0.6989520537071058,0.0403311285889186,9
e2e,BACE,classification,roc_auc,train,0.25,25,302,0.6785837063299428,0.0406870990616018,9
e2e,BACE,classification,roc_auc,train,0.5,50,605,0.7507546212956996,0.0313169130285987,9
e2e,BACE,classification,roc_auc,train,1.0,100,1210,0.7544867407045238,0.0475868120336518,3
e2e,BBBP,classification,nef1,test,0.05,5,82,0.4074074074074074,0.1469861839480328,9
e2e,BBBP,classification,nef1,test,0.1,10,163,0.9259259259259258,0.1469861839480328,9
e2e,BBBP,classification,nef1,test,0.25,25,408,0.9629629629629628,0.1111111111111111,9
e2e,BBBP,classification,nef1,test,0.5,50,816,1.0,0.0,9
e2e,BBBP,classification,nef1,test,1.0,100,1631,1.0,0.0,3
e2e,BBBP,classification,roc_auc,test,0.05,5,82,0.4531639742642729,0.0186603639788604,9
e2e,BBBP,classification,roc_auc,test,0.1,10,163,0.6761944524734774,0.0184657128567709,9
e2e,BBBP,classification,roc_auc,test,0.25,25,408,0.6858614081853314,0.0148236955090727,9
e2e,BBBP,classification,roc_auc,test,0.5,50,816,0.6892710708588924,0.0126070928901296,9
e2e,BBBP,classification,roc_auc,test,1.0,100,1631,0.7060089282846773,0.0061950844725563,3
e2e,BBBP,classification,roc_auc,train,0.05,5,82,0.6728118974063166,0.057869244448318,9
e2e,BBBP,classification,roc_auc,train,0.1,10,163,0.9459617259356228,0.0243876729249162,9
e2e,BBBP,classification,roc_auc,train,0.25,25,408,0.9743131845821416,0.0073235970512702,9
e2e,BBBP,classification,roc_auc,train,0.5,50,816,0.9649085607903134,0.0128374775395097,9
e2e,BBBP,classification,roc_auc,train,1.0,100,1631,0.9665569526944208,0.0042813998008593,3
e2e,ESOL,regression,rmse,test,0.05,5,45,1.9506151543723211,0.2112585190006746,9
e2e,ESOL,regression,rmse,test,0.1,10,90,1.4810909297731187,0.1340894161595121,9
e2e,ESOL,regression,rmse,test,0.25,25,226,1.422008991241455,0.0851679408731034,9
e2e,ESOL,regression,rmse,test,0.5,50,451,1.286518931388855,0.0562356542056521,9
e2e,ESOL,regression,rmse,test,1.0,100,902,1.189464529355367,0.0867182918756711,3
e2e,ESOL,regression,rmse,train,0.05,5,45,1.5244902769724529,0.1961833275473729,9
e2e,ESOL,regression,rmse,train,0.1,10,90,1.0026603937149048,0.0492013318045893,9
e2e,ESOL,regression,rmse,train,0.25,25,226,1.0081085960070293,0.0635803139443263,9
e2e,ESOL,regression,rmse,train,0.5,50,451,0.8202043506834242,0.0840433350284615,9
e2e,ESOL,regression,rmse,train,1.0,100,902,0.7854485114415487,0.1731602329791268,3
e2e,HIV,classification,nef1,test,0.05,5,1645,0.3386243386243386,0.1134254438726702,9
e2e,HIV,classification,nef1,test,0.1,10,3290,0.5158730158730158,0.0570932324203895,9
e2e,HIV,classification,nef1,test,0.25,25,8225,0.5767195767195767,0.0372255219033605,9
e2e,HIV,classification,nef1,test,0.5,50,16450,0.5740740740740741,0.0402733792265564,9
e2e,HIV,classification,nef1,test,1.0,100,32901,0.6111111111111112,0.0549857399228214,3
e2e,HIV,classification,roc_auc,test,0.05,5,1645,0.6868603959992361,0.0149702365973638,9
e2e,HIV,classification,roc_auc,test,0.1,10,3290,0.6962436509009444,0.0219671247529155,9
e2e,HIV,classification,roc_auc,test,0.25,25,8225,0.7188727304720275,0.0159426338591935,9
e2e,HIV,classification,roc_auc,test,0.5,50,16450,0.7587420683202758,0.0067920621138642,9
e2e,HIV,classification,roc_auc,test,1.0,100,32901,0.7396499224267238,0.0046582840948433,3
e2e,HIV,classification,roc_auc,train,0.05,5,1645,0.8798239926279923,0.0373151952652428,9
e2e,HIV,classification,roc_auc,train,0.1,10,3290,0.8850670686943153,0.0244158897102316,9
e2e,HIV,classification,roc_auc,train,0.25,25,8225,0.8919670571734524,0.0243699510503528,9
e2e,HIV,classification,roc_auc,train,0.5,50,16450,0.8949707883917792,0.0287813769931844,9
e2e,HIV,classification,roc_auc,train,1.0,100,32901,0.9365751023267048,0.0115162911664215,3
e2e,Lipophilicity,regression,rmse,test,0.05,5,168,1.041306045320299,0.0114045141111572,9
e2e,Lipophilicity,regression,rmse,test,0.1,10,336,1.0246787601047092,0.0114766919775012,9
e2e,Lipophilicity,regression,rmse,test,0.25,25,840,1.012754241625468,0.021179399805111,9
e2e,Lipophilicity,regression,rmse,test,0.5,50,1680,0.9647228982713488,0.0298614076719255,9
e2e,Lipophilicity,regression,rmse,test,1.0,100,3360,0.9214028318723044,0.0056906527851977,3
e2e,Lipophilicity,regression,rmse,train,0.05,5,168,0.9715239471859404,0.0666723104825435,9
e2e,Lipophilicity,regression,rmse,train,0.1,10,336,1.0306102832158406,0.0313203653076247,9
e2e,Lipophilicity,regression,rmse,train,0.25,25,840,0.9865507417254976,0.0556922570031803,9
e2e,Lipophilicity,regression,rmse,train,0.5,50,1680,0.8249204225010343,0.1036513148662976,9
e2e,Lipophilicity,regression,rmse,train,1.0,100,3360,0.6579334139823914,0.0222485541198393,3
e2e,QM7,regression,rmse,test,0.05,5,274,199.5641750759549,1.538480072173246,9
e2e,QM7,regression,rmse,test,0.1,10,547,200.73232184516056,2.748601735855457,9
e2e,QM7,regression,rmse,test,0.25,25,1368,200.64376322428384,1.8981194778611807,9
e2e,QM7,regression,rmse,test,0.5,50,2735,205.13697136773004,3.1656225205670845,9
e2e,QM7,regression,rmse,test,1.0,100,5470,204.47430928548175,2.020046432336147,3
e2e,QM7,regression,rmse,train,0.05,5,274,224.04542202419705,6.149523983149188,9
e2e,QM7,regression,rmse,train,0.1,10,547,221.89187622070312,5.073164300319546,9
e2e,QM7,regression,rmse,train,0.25,25,1368,221.51593695746527,4.97776512671044,9
e2e,QM7,regression,rmse,train,0.5,50,2735,213.4035152859158,11.991655601365265,9
e2e,QM7,regression,rmse,train,1.0,100,5470,200.44058736165368,16.88793717622333,3
e2e,Tox21,classification,nef1,test,0.05,5,313,0.2055776014109347,0.0674397760250034,9
e2e,Tox21,classification,nef1,test,0.1,10,626,0.3711860670194003,0.0677898317423264,9
e2e,Tox21,classification,nef1,test,0.25,25,1566,0.4649911816578483,0.0577372524135894,9
e2e,Tox21,classification,nef1,test,0.5,50,3132,0.5302028218694885,0.055486424868509,9
e2e,Tox21,classification,nef1,test,1.0,100,6264,0.5339947089947089,0.0172904837010014,3
e2e,Tox21,classification,roc_auc,test,0.05,5,313,0.5964350071302061,0.0401247015479539,9
e2e,Tox21,classification,roc_auc,test,0.1,10,626,0.654333153280634,0.0205737585890099,9
e2e,Tox21,classification,roc_auc,test,0.25,25,1566,0.6859168726171683,0.0108791422612589,9
e2e,Tox21,classification,roc_auc,test,0.5,50,3132,0.7099740619771393,0.0046473326069852,9
e2e,Tox21,classification,roc_auc,test,1.0,100,6264,0.7300576868321459,0.0070436805044912,3
e2e,Tox21,classification,roc_auc,train,0.05,5,313,0.700960068755318,0.0888430493207772,9
e2e,Tox21,classification,roc_auc,train,0.1,10,626,0.8009029787794429,0.0392083063500727,9
e2e,Tox21,classification,roc_auc,train,0.25,25,1566,0.8128552244857836,0.0300127345029652,9
e2e,Tox21,classification,roc_auc,train,0.5,50,3132,0.8566377946429028,0.0284286640979255,9
e2e,Tox21,classification,roc_auc,train,1.0,100,6264,0.8959558549802987,0.0037202900260583,3
random,BACE,classification,nef1,test,0.05,5,60,0.7222222222222222,0.3632415786283894,9
random,BACE,classification,nef1,test,0.1,10,121,1.0,0.0,9
random,BACE,classification,nef1,test,0.25,25,302,0.8888888888888888,0.3333333333333333,9
random,BACE,classification,nef1,test,0.5,50,605,0.8888888888888888,0.2204792759220492,9
random,BACE,classification,nef1,test,1.0,100,1210,1.0,0.0,3
random,BACE,classification,roc_auc,test,0.05,5,60,0.6482487922705313,0.0653778470982283,9
random,BACE,classification,roc_auc,test,0.1,10,121,0.691928341384863,0.032118026284778,9
random,BACE,classification,roc_auc,test,0.25,25,302,0.6569444444444446,0.0206241466952238,9
random,BACE,classification,roc_auc,test,0.5,50,605,0.6822665056360708,0.0293589290094806,9
random,BACE,classification,roc_auc,test,1.0,100,1210,0.6632850241545893,0.0374878915782529,3
random,BACE,classification,roc_auc,train,0.05,5,60,0.8596710029128665,0.0304698750357871,9
random,BACE,classification,roc_auc,train,0.1,10,121,0.8288914884077162,0.0502622278455304,9
random,BACE,classification,roc_auc,train,0.25,25,302,0.8766154891731472,0.025098942735924,9
random,BACE,classification,roc_auc,train,0.5,50,605,0.8951994244157471,0.0167758674093444,9
random,BACE,classification,roc_auc,train,1.0,100,1210,0.8695108379315964,0.0433301409240439,3
random,BBBP,classification,nef1,test,0.05,5,82,0.5925925925925926,0.1469861839480327,9
random,BBBP,classification,nef1,test,0.1,10,163,0.6296296296296295,0.1111111111111111,9
random,BBBP,classification,nef1,test,0.25,25,408,0.7407407407407407,0.1469861839480328,9
random,BBBP,classification,nef1,test,0.5,50,816,0.7407407407407407,0.1469861839480328,9
random,BBBP,classification,nef1,test,1.0,100,1631,0.7777777777777777,0.1924500897298752,3
random,BBBP,classification,roc_auc,test,0.05,5,82,0.6234811745939985,0.0393522884386246,9
random,BBBP,classification,roc_auc,test,0.1,10,163,0.6331695410604747,0.0244724451174042,9
random,BBBP,classification,roc_auc,test,0.25,25,408,0.6600721542430762,0.0239371207309065,9
random,BBBP,classification,roc_auc,test,0.5,50,816,0.692102643157658,0.0161871039864637,9
random,BBBP,classification,roc_auc,test,1.0,100,1631,0.6940938433375083,0.018732516876166,3
random,BBBP,classification,roc_auc,train,0.05,5,82,0.969950322708272,0.0217481780277003,9
random,BBBP,classification,roc_auc,train,0.1,10,163,0.9619316519856876,0.0231885294550693,9
random,BBBP,classification,roc_auc,train,0.25,25,408,0.967884693534968,0.016156314827942,9
random,BBBP,classification,roc_auc,train,0.5,50,816,0.9806754933467788,0.0089091337967662,9
random,BBBP,classification,roc_auc,train,1.0,100,1631,0.9629501058568404,0.0110442797038246,3
random,ESOL,regression,rmse,test,0.05,5,45,1.5819573402404783,0.1754993956437648,9
random,ESOL,regression,rmse,test,0.1,10,90,1.3688152498669095,0.1358226280483021,9
random,ESOL,regression,rmse,test,0.25,25,226,1.3146619266933866,0.0507902068989617,9
random,ESOL,regression,rmse,test,0.5,50,451,1.3225637939241195,0.0520256140917905,9
random,ESOL,regression,rmse,test,1.0,100,902,1.2503314018249512,0.0384508418281208,3
random,ESOL,regression,rmse,train,0.05,5,45,0.6198758913411034,0.2439575972814103,9
random,ESOL,regression,rmse,train,0.1,10,90,0.6339141627152761,0.1162501825821905,9
random,ESOL,regression,rmse,train,0.25,25,226,0.6033385131094191,0.1020435721977821,9
random,ESOL,regression,rmse,train,0.5,50,451,0.838800224992964,0.1112496417196579,9
random,ESOL,regression,rmse,train,1.0,100,902,0.8735567728678385,0.0675882696569604,3
random,HIV,classification,nef1,test,0.05,5,1645,0.2698412698412698,0.1037833081795398,9
random,HIV,classification,nef1,test,0.1,10,3290,0.3624338624338624,0.0897036075829945,9
random,HIV,classification,nef1,test,0.25,25,8225,0.41005291005291,0.0390827690547464,9
random,HIV,classification,nef1,test,0.5,50,16450,0.4179894179894179,0.068502684530286,9
random,HIV,classification,nef1,test,1.0,100,32901,0.4603174603174603,0.0137464349807053,3
random,HIV,classification,roc_auc,test,0.05,5,1645,0.6835654094002073,0.0223414015828061,9
random,HIV,classification,roc_auc,test,0.1,10,3290,0.698552180098753,0.0206323382172658,9
random,HIV,classification,roc_auc,test,0.25,25,8225,0.7152554338846079,0.0197372115151345,9
random,HIV,classification,roc_auc,test,0.5,50,16450,0.7468066204445818,0.0085765945920121,9
random,HIV,classification,roc_auc,test,1.0,100,32901,0.7636815439978885,0.0049083066107553,3
random,HIV,classification,roc_auc,train,0.05,5,1645,0.9065032475377552,0.0274961986955495,9
