arm,task,task_type,metric,split,fraction,pct,n_train,mean,std,n_cells
e2e,BACE,classification,nef1,test,0.05,5,60,0.5,0.4330127018922193,9
e2e,BACE,classification,nef1,test,0.1,10,121,0.7777777777777778,0.3632415786283894,9
e2e,BACE,classification,nef1,test,0.25,25,302,0.8333333333333334,0.3535533905932738,9
e2e,BACE,classification,nef1,test,0.5,50,605,1.0,0.0,9
e2e,BACE,classification,nef1,test,1.0,100,1210,1.0,0.0,3
e2e,BACE,classification,roc_auc,test,0.05,5,60,0.572181964573269,0.10286854026894825,9
e2e,BACE,classification,roc_auc,test,0.1,10,121,0.6324074074074074,0.08466036591548694,9
e2e,BACE,classification,roc_auc,test,0.25,25,302,0.7065519323671497,0.03872335578924084,9
e2e,BACE,classification,roc_auc,test,0.5,50,605,0.730414653784219,0.035525922888322355,9
e2e,BACE,classification,roc_auc,test,1.0,100,1210,0.7245169082125603,0.0370122410191844,3
e2e,BACE,classification,roc_auc,train,0.05,5,60,0.6816024114658865,0.11854867101125585,9
e2e,BACE,classification,roc_auc,train,0.1,10,121,0.6989520537071058,0.04033112858891864,9
e2e,BACE,classification,roc_auc,train,0.25,25,302,0.6785837063299428,0.040687099061601825,9
e2e,BACE,classification,roc_auc,train,0.5,50,605,0.7507546212956996,0.031316913028598785,9
e2e,BACE,classification,roc_auc,train,1.0,100,1210,0.7544867407045238,0.047586812033651865,3
e2e,BBBP,classification,nef1,test,0.05,5,82,0.4074074074074074,0.1469861839480328,9
e2e,BBBP,classification,nef1,test,0.1,10,163,0.9259259259259258,0.1469861839480328,9
e2e,BBBP,classification,nef1,test,0.25,25,408,0.9629629629629629,0.11111111111111113,9
e2e,BBBP,classification,nef1,test,0.5,50,816,1.0,0.0,9
e2e,BBBP,classification,nef1,test,1.0,100,1631,1.0,0.0,3
e2e,BBBP,classification,roc_auc,test,0.05,5,82,0.4531639742642729,0.0186603639788604,9
e2e,BBBP,classification,roc_auc,test,0.1,10,163,0.6761944524734774,0.018465712856770986,9
e2e,BBBP,classification,roc_auc,test,0.25,25,408,0.6858614081853314,0.014823695509072766,9
e2e,BBBP,classification,roc_auc,test,0.5,50,816,0.6892710708588924,0.012607092890129687,9
e2e,BBBP,classification,roc_auc,test,1.0,100,1631,0.7060089282846773,0.00619508447255634,3
e2e,BBBP,classification,roc_auc,train,0.05,5,82,0.6728118974063166,0.057869244448318084,9
e2e,BBBP,classification,roc_auc,train,0.1,10,163,0.9459617259356228,0.024387672924916205,9
e2e,BBBP,classification,roc_auc,train,0.25,25,408,0.9743131845821416,0.00732359705127024,9
e2e,BBBP,classification,roc_auc,train,0.5,50,816,0.9649085607903134,0.012837477539509737,9
e2e,BBBP,classification,roc_auc,train,1.0,100,1631,0.9665569526944209,0.004281399800859356,3
e2e,ESOL,regression,rmse,test,0.05,5,45,1.9506151543723211,0.21125851900067466,9
e2e,ESOL,regression,rmse,test,0.1,10,90,1.4810909297731187,0.13408941615951211,9
e2e,ESOL,regression,rmse,test,0.25,25,226,1.422008991241455,0.08516794087310345,9
e2e,ESOL,regression,rmse,test,0.5,50,451,1.286518931388855,0.05623565420565214,9
e2e,ESOL,regression,rmse,test,1.0,100,902,1.189464529355367,0.08671829187567116,3
e2e,ESOL,regression,rmse,train,0.05,5,45,1.5244902769724529,0.19618332754737294,9
e2e,ESOL,regression,rmse,train,0.1,10,90,1.0026603937149048,0.04920133180458936,9
e2e,ESOL,regression,rmse,train,0.25,25,226,1.0081085960070293,0.06358031394432638,9
e2e,ESOL,regression,rmse,train,0.5,50,451,0.8202043506834242,0.08404333502846152,9
e2e,ESOL,regression,rmse,train,1.0,100,902,0.7854485114415487,0.17316023297912686,3
e2e,HIV,classification,nef1,test,0.05,5,1645,0.3386243386243386,0.11342544387267028,9
e2e,HIV,classification,nef1,test,0.1,10,3290,0.5158730158730158,0.05709323242038953,9
e2e,HIV,classification,nef1,test,0.25,25,8225,0.5767195767195767,0.03722552190336052,9
e2e,HIV,classification,nef1,test,0.5,50,16450,0.5740740740740741,0.04027337922655645,9
e2e,HIV,classification,nef1,test,1.0,100,32901,0.6111111111111112,0.054985739922821464,3
e2e,HIV,classification,roc_auc,test,0.05,5,1645,0.6868603959992361,0.014970236597363863,9
e2e,HIV,classification,roc_auc,test,0.1,10,3290,0.6962436509009444,0.021967124752915557,9
e2e,HIV,classification,roc_auc,test,0.25,25,8225,0.7188727304720275,0.015942633859193544,9
e2e,HIV,classification,roc_auc,test,0.5,50,16450,0.7587420683202758,0.006792062113864209,9
e2e,HIV,classification,roc_auc,test,1.0,100,32901,0.7396499224267238,0.004658284094843392,3
e2e,HIV,classification,roc_auc,train,0.05,5,1645,0.8798239926279923,0.03731519526524286,9
e2e,HIV,classification,roc_auc,train,0.1,10,3290,0.8850670686943153,0.02441588971023165,9
e2e,HIV,classification,roc_auc,train,0.25,25,8225,0.8919670571734524,0.024369951050352823,9
e2e,HIV,classification,roc_auc,train,0.5,50,16450,0.8949707883917792,0.02878137699318444,9
e2e,HIV,classification,roc_auc,train,1.0,100,32901,0.9365751023267048,0.011516291166421503,3
e2e,Lipophilicity,regression,rmse,test,0.05,5,168,1.041306045320299,0.01140451411115725,9
e2e,Lipophilicity,regression,rmse,test,0.1,10,336,1.0246787601047092,0.011476691977501218,9
e2e,Lipophilicity,regression,rmse,test,0.25,25,840,1.012754241625468,0.021179399805111087,9
e2e,Lipophilicity,regression,rmse,test,0.5,50,1680,0.9647228982713487,0.02986140767192554,9
e2e,Lipophilicity,regression,rmse,test,1.0,100,3360,0.9214028318723043,0.005690652785197759,3
e2e,Lipophilicity,regression,rmse,train,0.05,5,168,0.9715239471859403,0.06667231048254352,9
e2e,Lipophilicity,regression,rmse,train,0.1,10,336,1.0306102832158406,0.03132036530762478,9
e2e,Lipophilicity,regression,rmse,train,0.25,25,840,0.9865507417254977,0.055692257003180326,9
e2e,Lipophilicity,regression,rmse,train,0.5,50,1680,0.8249204225010343,0.1036513148662976,9
e2e,Lipophilicity,regression,rmse,train,1.0,100,3360,0.6579334139823914,0.02224855411983936,3
e2e,QM7,regression,rmse,test,0.05,5,274,199.56417507595486,1.5384800721732461,9
e2e,QM7,regression,rmse,test,0.1,10,547,200.73232184516058,2.748601735855457,9
e2e,QM7,regression,rmse,test,0.25,25,1368,200.64376322428384,1.8981194778611807,9
e2e,QM7,regression,rmse,test,0.5,50,2735,205.13697136773004,3.1656225205670845,9
e2e,QM7,regression,rmse,test,1.0,100,5470,204.47430928548178,2.020046432336147,3
e2e,QM7,regression,rmse,train,0.05,5,274,224.04542202419705,6.149523983149188,9
e2e,QM7,regression,rmse,train,0.1,10,547,221.89187622070312,5.073164300319546,9
e2e,QM7,regression,rmse,train,0.25,25,1368,221.51593695746527,4.97776512671044,9
e2e,QM7,regression,rmse,train,0.5,50,2735,213.4035152859158,11.991655601365263,9
e2e,QM7,regression,rmse,train,1.0,100,5470,200.44058736165366,16.88793717622333,3
e2e,Tox21,classification,nef1,test,0.05,5,313,0.2055776014109347,0.0674397760250034,9
e2e,Tox21,classification,nef1,test,0.1,10,626,0.3711860670194003,0.06778983174232642,9
e2e,Tox21,classification,nef1,test,0.25,25,1566,0.46499118165784836,0.05773725241358944,9
e2e,Tox21,classification,nef1,test,0.5,50,3132,0.5302028218694885,0.05548642486850905,9
e2e,Tox21,classification,nef1,test,1.0,100,6264,0.5339947089947089,0.017290483701001412,3
e2e,Tox21,classification,roc_auc,test,0.05,5,313,0.5964350071302061,0.04012470154795391,9
e2e,Tox21,classification,roc_auc,test,0.1,10,626,0.654333153280634,0.020573758589009984,9
e2e,Tox21,classification,roc_auc,test,0.25,25,1566,0.6859168726171683,0.010879142261258927,9
e2e,Tox21,classification,roc_auc,test,0.5,50,3132,0.7099740619771393,0.004647332606985292,9
e2e,Tox21,classification,roc_auc,test,1.0,100,6264,0.7300576868321459,0.0070436805044912995,3
e2e,Tox21,classification,roc_auc,train,0.05,5,313,0.700960068755318,0.08884304932077729,9
e2e,Tox21,classification,roc_auc,train,0.1,10,626,0.8009029787794429,0.03920830635007273,9
e2e,Tox21,classification,roc_auc,train,0.25,25,1566,0.8128552244857836,0.030012734502965297,9
e2e,Tox21,classification,roc_auc,train,0.5,50,3132,0.8566377946429028,0.028428664097925573,9
e2e,Tox21,classification,roc_auc,train,1.0,100,6264,0.8959558549802987,0.0037202900260583983,3
