arm,task,task_type,metric,split,fraction,pct,n_train,mean,std,n_cells
fp_desc,BACE,classification,nef1,test,0.05,5,60,0.8333333333333334,0.3535533905932738,9
fp_desc,BACE,classification,nef1,test,0.1,10,121,0.8888888888888888,0.22047927592204922,9
fp_desc,BACE,classification,nef1,test,0.25,25,302,1.0,0.0,9
fp_desc,BACE,classification,nef1,test,0.5,50,605,1.0,0.0,9
fp_desc,BACE,classification,nef1,test,1.0,100,1210,1.0,0.0,3
fp_desc,BACE,classification,roc_auc,test,0.05,5,60,0.644927536231884,0.04195586272354206,9
fp_desc,BACE,classification,roc_auc,test,0.1,10,121,0.7327596618357488,0.029124581438388957,9
fp_desc,BACE,classification,roc_auc,test,0.25,25,302,0.7753220611916265,0.02598343801653859,9
fp_desc,BACE,classification,roc_auc,test,0.5,50,605,0.7889794685990338,0.022564758452348066,9
fp_desc,BACE,classification,roc_auc,test,1.0,100,1210,0.7835748792270532,0.0069983207295518796,3
fp_desc,BACE,classification,roc_auc,train,0.05,5,60,0.9817712455180553,0.021804752651357444,9
fp_desc,BACE,classification,roc_auc,train,0.1,10,121,0.9917914522935956,0.005494194054583119,9
fp_desc,BACE,classification,roc_auc,train,0.25,25,302,0.9874372001630848,0.016369169243641193,9
fp_desc,BACE,classification,roc_auc,train,0.5,50,605,0.980268883482284,0.008084699881874173,9
fp_desc,BACE,classification,roc_auc,train,1.0,100,1210,0.9658704104677424,0.003589598440527923,3
fp_desc,HIV,classification,nef1,test,0.05,5,1645,0.5158730158730159,0.12542444943872308,9
fp_desc,HIV,classification,nef1,test,0.1,10,3290,0.6005291005291006,0.035270612767125335,9
fp_desc,HIV,classification,nef1,test,0.25,25,8224,0.6084656084656085,0.02942935907577645,9
fp_desc,HIV,classification,nef1,test,0.5,50,16448,0.6243386243386244,0.01984126984126984,9
fp_desc,HIV,classification,nef1,test,1.0,100,32896,0.6190476190476191,0.0,3
fp_desc,HIV,classification,roc_auc,test,0.05,5,1645,0.6944068822521862,0.03211926042067656,9
fp_desc,HIV,classification,roc_auc,test,0.1,10,3290,0.6955263429020335,0.020145588987515374,9
fp_desc,HIV,classification,roc_auc,test,0.25,25,8224,0.739030444693428,0.01307695832195923,9
fp_desc,HIV,classification,roc_auc,test,0.5,50,16448,0.7565364653762443,0.010665537507060147,9
fp_desc,HIV,classification,roc_auc,test,1.0,100,32896,0.7609254465608056,0.004487988453495128,3
fp_desc,HIV,classification,roc_auc,train,0.05,5,1645,0.9999469869090122,9.774891493914479e-05,9
fp_desc,HIV,classification,roc_auc,train,0.1,10,3290,0.9999268902050171,9.914122442354484e-05,9
fp_desc,HIV,classification,roc_auc,train,0.25,25,8224,0.999755727320224,0.00017009212984131782,9
fp_desc,HIV,classification,roc_auc,train,0.5,50,16448,0.9991282251474899,0.0008067939105585589,9
fp_desc,HIV,classification,roc_auc,train,1.0,100,32896,0.9959458308450856,0.0031973367655517408,3
fp_desc,QM7,regression,rmse,test,0.05,5,274,197.69699435763889,1.5719735269215063,9
fp_desc,QM7,regression,rmse,test,0.1,10,547,197.0683356391059,1.4926375038556685,9
fp_desc,QM7,regression,rmse,test,0.25,25,1368,195.31661309136285,2.134557095260689,9
fp_desc,QM7,regression,rmse,test,0.5,50,2735,195.59958733452692,1.6183725828050701,9
fp_desc,QM7,regression,rmse,test,1.0,100,5470,194.1529083251953,0.8213301142617041,3
fp_desc,QM7,regression,rmse,train,0.05,5,274,160.68697018093533,32.44673018763954,9
fp_desc,QM7,regression,rmse,train,0.1,10,547,174.09930250379773,22.59516409653731,9
fp_desc,QM7,regression,rmse,train,0.25,25,1368,170.00656127929688,14.306554243189904,9
fp_desc,QM7,regression,rmse,train,0.5,50,2735,171.93737114800348,4.739891261553559,9
fp_desc,QM7,regression,rmse,train,1.0,100,5470,179.41866048177084,4.679666852774482,3
fp_desc,Tox21,classification,nef1,test,0.05,5,313,0.3905092592592593,0.07282761339298618,9
fp_desc,Tox21,classification,nef1,test,0.1,10,626,0.49266975308641975,0.03695694317084514,9
fp_desc,Tox21,classification,nef1,test,0.25,25,1564,0.555731922398589,0.03976398443254781,9
fp_desc,Tox21,classification,nef1,test,0.5,50,3129,0.6411926807760141,0.016548943662381292,9
fp_desc,Tox21,classification,nef1,test,1.0,100,6258,0.63369708994709,0.026537713865396332,3
fp_desc,Tox21,classification,roc_auc,test,0.05,5,313,0.6758389626158824,0.006539132618467016,9
fp_desc,Tox21,classification,roc_auc,test,0.1,10,626,0.6967110399342734,0.007202045189480933,9
fp_desc,Tox21,classification,roc_auc,test,0.25,25,1564,0.7198271189225376,0.004944303717047921,9
fp_desc,Tox21,classification,roc_auc,test,0.5,50,3129,0.7491459961700049,0.0033858491000175635,9
fp_desc,Tox21,classification,roc_auc,test,1.0,100,6258,0.7638080579314498,0.0013358269798342212,3
fp_desc,Tox21,classification,roc_auc,train,0.05,5,313,0.990104771874658,0.003841346048427205,9
fp_desc,Tox21,classification,roc_auc,train,0.1,10,626,0.9944767261525479,0.001819174145629713,9
fp_desc,Tox21,classification,roc_auc,train,0.25,25,1564,0.9947191347848443,0.001108296143466731,9
fp_desc,Tox21,classification,roc_auc,train,0.5,50,3129,0.9929393348352402,0.0016569093694516997,9
fp_desc,Tox21,classification,roc_auc,train,1.0,100,6258,0.9873582357661804,0.0027555671779665937,3
