arm,task,task_type,fraction,pct,n_train,head_seed,metric,split,value,subsample_seed
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,test,0.6642210144927537,0
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,test,0.6083333333333334,0
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,test,0.572644927536232,0
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,train,0.705316742081448,0
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,train,0.6696832579185521,0
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,train,0.6617647058823528,0
unsup_only,BACE,classification,0.05,5,60,0,nef1,test,0.5,0
unsup_only,BACE,classification,0.05,5,60,1,nef1,test,0.0,0
unsup_only,BACE,classification,0.05,5,60,2,nef1,test,0.0,0
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,test,0.6060688405797101,1
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,test,0.5172101449275361,1
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,test,0.4672101449275362,1
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,train,0.5821566110397947,1
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,train,0.618741976893453,1
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,train,0.5596919127086007,1
unsup_only,BACE,classification,0.05,5,60,0,nef1,test,0.5,1
unsup_only,BACE,classification,0.05,5,60,1,nef1,test,0.5,1
unsup_only,BACE,classification,0.05,5,60,2,nef1,test,1.0,1
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,test,0.6834239130434782,2
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,test,0.7176630434782608,2
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,test,0.5342391304347827,2
unsup_only,BACE,classification,0.05,5,60,0,roc_auc,train,0.6657142857142857,2
unsup_only,BACE,classification,0.05,5,60,1,roc_auc,train,0.96,2
unsup_only,BACE,classification,0.05,5,60,2,roc_auc,train,0.5188571428571429,2
unsup_only,BACE,classification,0.05,5,60,0,nef1,test,0.5,2
unsup_only,BACE,classification,0.05,5,60,1,nef1,test,1.0,2
unsup_only,BACE,classification,0.05,5,60,2,nef1,test,1.0,2
unsup_only,BACE,classification,0.1,10,121,0,roc_auc,test,0.7164855072463768,0
unsup_only,BACE,classification,0.1,10,121,1,roc_auc,test,0.7117753623188406,0
unsup_only,BACE,classification,0.1,10,121,2,roc_auc,test,0.7147644927536232,0
unsup_only,BACE,classification,0.1,10,121,0,roc_auc,train,0.9771460423634336,0
unsup_only,BACE,classification,0.1,10,121,1,roc_auc,train,0.967948717948718,0
