task,features,metric,mean,std
ESOL,fp,rmse,1.5092,0.3102
ESOL,desc,rmse,0.722,0.0506
ESOL,fp+desc,rmse,0.7343,0.0404
ESOL,CheMel,rmse,0.8491,0.0648
ESOL,fp+CheMel,rmse,0.845,0.0652
ESOL,desc+CheMel,rmse,0.7364,0.0428
ESOL,fp+desc+CheMel,rmse,0.7331,0.0529
QM7,fp,rmse,216.1573,2.147
QM7,desc,rmse,188.6941,4.5908
QM7,fp+desc,rmse,186.6553,4.06
QM7,CheMel,rmse,197.0733,3.7434
QM7,fp+CheMel,rmse,196.6658,3.8246
QM7,desc+CheMel,rmse,188.9735,4.8689
QM7,fp+desc+CheMel,rmse,187.4147,4.5512
BBBP,fp,roc_auc,0.8752,0.0224
BBBP,fp,nef1,1.0,0.0
BBBP,desc,roc_auc,0.897,0.0316
BBBP,desc,nef1,1.0,0.0
BBBP,fp+desc,roc_auc,0.8987,0.0303
BBBP,fp+desc,nef1,1.0,0.0
BBBP,CheMel,roc_auc,0.8855,0.0318
BBBP,CheMel,nef1,1.0,0.0
BBBP,fp+CheMel,roc_auc,0.893,0.0372
BBBP,fp+CheMel,nef1,1.0,0.0
BBBP,desc+CheMel,roc_auc,0.8998,0.0329
BBBP,desc+CheMel,nef1,1.0,0.0
BBBP,fp+desc+CheMel,roc_auc,0.8991,0.0304
BBBP,fp+desc+CheMel,nef1,0.96,0.08
BACE,fp,roc_auc,0.8791,0.0211
BACE,fp,nef1,1.0,0.0
BACE,desc,roc_auc,0.8747,0.0129
BACE,desc,nef1,1.0,0.0
BACE,fp+desc,roc_auc,0.87,0.0111
BACE,fp+desc,nef1,1.0,0.0
BACE,CheMel,roc_auc,0.875,0.0134
BACE,CheMel,nef1,1.0,0.0
BACE,fp+CheMel,roc_auc,0.8783,0.0139
BACE,fp+CheMel,nef1,1.0,0.0
BACE,desc+CheMel,roc_auc,0.8723,0.0081
BACE,desc+CheMel,nef1,1.0,0.0
BACE,fp+desc+CheMel,roc_auc,0.8775,0.009
BACE,fp+desc+CheMel,nef1,1.0,0.0
Tox21,fp,roc_auc,0.776,0.0409
Tox21,fp,nef1,0.6268,0.1596
Tox21,desc,roc_auc,0.8054,0.0537
Tox21,desc,nef1,0.721,0.166
Tox21,fp+desc,roc_auc,0.8073,0.0513
Tox21,fp+desc,nef1,0.7185,0.1584
Tox21,CheMel,roc_auc,0.8114,0.0415
Tox21,CheMel,nef1,0.7268,0.1645
Tox21,fp+CheMel,roc_auc,0.8127,0.0415
Tox21,fp+CheMel,nef1,0.7222,0.1411
Tox21,desc+CheMel,roc_auc,0.8098,0.0506
Tox21,desc+CheMel,nef1,0.7127,0.1603
Tox21,fp+desc+CheMel,roc_auc,0.8108,0.0504
Tox21,fp+desc+CheMel,nef1,0.7317,0.1566
HIV,fp,roc_auc,0.8017,0.0309
HIV,fp,nef1,0.7012,0.0912
HIV,desc,roc_auc,0.8024,0.0338
HIV,desc,nef1,0.7012,0.0635
HIV,fp+desc,roc_auc,0.8096,0.0314
HIV,fp+desc,nef1,0.7133,0.0724
HIV,CheMel,roc_auc,0.8127,0.0219
HIV,CheMel,nef1,0.7253,0.0826
HIV,fp+CheMel,roc_auc,0.8108,0.0219
HIV,fp+CheMel,nef1,0.7229,0.1031
HIV,desc+CheMel,roc_auc,0.808,0.0296
HIV,desc+CheMel,nef1,0.7181,0.0583
HIV,fp+desc+CheMel,roc_auc,0.8165,0.028
HIV,fp+desc+CheMel,nef1,0.7325,0.0466
