arm,task,metric,mean,sd_pretrain,sd_fold,sd_head,pct_pretrain,pct_fold,pct_head,pct_resid
unsup_only,ESOL,rmse,1.04826,0.01071,0.10604,0.00601,0.70308,68.90025,0.22127,30.1754
unsup_only,QM7,rmse,201.38582,0.73659,5.87022,0.20246,1.40471,89.21504,0.10613,9.27412
unsup_only,BBBP,roc_auc,0.94919,0.00311,0.0051,0.00104,13.58057,36.35926,1.50842,48.55175
unsup_only,BACE,roc_auc,0.85006,0.01207,0.02418,0.00222,15.53584,62.28786,0.52729,21.64901
unsup_only,Tox21,roc_auc,0.79071,0.00209,0.04064,0.00108,0.2601,98.40293,0.06991,1.26706
unsup_only,HIV,roc_auc,0.7607,0.00694,0.03681,0.00187,3.17419,89.29744,0.23069,7.29768
sup_only:dense,ESOL,rmse,0.91314,0.0041,0.07189,0.01002,0.17833,54.95349,1.06759,43.8006
sup_only:dense,QM7,rmse,197.02823,0.38247,5.26992,0.32254,0.48522,92.12005,0.34507,7.04966
sup_only:dense,BBBP,roc_auc,0.94115,0.00225,0.00612,0.00227,5.39785,39.84027,5.48195,49.27992
sup_only:dense,BACE,roc_auc,0.84174,0.00354,0.02062,0.00277,2.26861,77.04272,1.39339,19.29528
sup_only:dense,Tox21,roc_auc,0.79129,0.00191,0.04254,0.00169,0.19769,98.36862,0.15606,1.27762
sup_only:dense,HIV,roc_auc,0.76176,0.00295,0.03284,0.00247,0.71943,89.1809,0.50527,9.5944
sup_only:mixed,ESOL,rmse,0.9026,0.03513,0.06991,0.00309,15.1812,60.11239,0.11737,24.58904
sup_only:mixed,QM7,rmse,198.76538,0.25314,4.87917,0.45275,0.24713,91.81473,0.79055,7.14759
sup_only:mixed,BBBP,roc_auc,0.94006,0.00146,0.00784,0.0009,2.34258,67.42367,0.88269,29.35106
sup_only:mixed,BACE,roc_auc,0.82062,0.00618,0.03811,0.001,2.29406,87.33191,0.05988,10.31415
sup_only:mixed,Tox21,roc_auc,0.8137,0.00165,0.03116,0.00065,0.27298,97.36199,0.04197,2.32306
sup_only:mixed,HIV,roc_auc,0.77165,0.00612,0.03195,0.00076,3.31334,90.20543,0.05145,6.42979
unsup->sup,ESOL,rmse,0.96851,0.02807,0.12105,0.00724,3.95697,73.58169,0.26351,22.19782
unsup->sup,QM7,rmse,197.57231,0.95371,5.6061,0.15044,2.57401,88.93953,0.06405,8.42241
unsup->sup,BBBP,roc_auc,0.94094,0.00242,0.00811,0.0004,5.17711,57.99064,0.13863,36.69362
unsup->sup,BACE,roc_auc,0.8227,0.00785,0.02076,0.0013,6.50623,45.52323,0.1773,47.79324
unsup->sup,Tox21,roc_auc,0.78946,0.00211,0.04362,0.00077,0.23079,99.0212,0.03108,0.71693
unsup->sup,HIV,roc_auc,0.76307,0.00585,0.03492,0.00444,2.54,90.46135,1.46445,5.5342
