wave,run,pretraining,budget,seed,encoder_s3_gb,encoder_local,metrics_jsonl,config,verified,eval::single-split summary,eval::single-split per-seed metrics,eval::5-fold CV summary,eval::5-fold CV per-seed metrics,eval::per-molecule CV predictions (I1),eval_local_single,eval_local_cv
climb_v2,ecfp4_anchor,classical: Morgan+XGBoost,-,0,0.0,0,0,0,0,1,1,0,0,0,1,0
climb_v2,mixed_seed0,round-1 mixed,?,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,random_baseline_00,"no_pretrain (random init, frozen)",-,0,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2,random_baseline_01,"no_pretrain (random init, frozen)",-,1,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2,random_baseline_02,"no_pretrain (random init, frozen)",-,2,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2,scaling_canonical_frac0p001,"unsup_only, canonical SMILES",2M @ frac0p001,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_canonical_frac0p01,"unsup_only, canonical SMILES",2M @ frac0p01,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_canonical_frac0p1,"unsup_only, canonical SMILES",2M @ frac0p1,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_canonical_frac0p3,"unsup_only, canonical SMILES",2M @ frac0p3,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_canonical_fracfull,"unsup_only, canonical SMILES",2M @ fracfull,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_enumerated_frac0p001,"unsup_only, enumerated SMILES",2M @ frac0p001,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_enumerated_frac0p01,"unsup_only, enumerated SMILES",2M @ frac0p01,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_enumerated_frac0p1,"unsup_only, enumerated SMILES",2M @ frac0p1,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_enumerated_frac0p3,"unsup_only, enumerated SMILES",2M @ frac0p3,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,scaling_enumerated_fracfull,"unsup_only, enumerated SMILES",2M @ fracfull,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,sup_only_seed0,round-1 sup_only,?,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2,unsup_only_seed0,round-1 unsup_only,?,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,ecfp4_anchor,classical: Morgan+XGBoost,-,0,0.0,0,0,0,0,1,1,0,0,0,1,0
climb_v2_ablation,random_baseline_00,"no_pretrain (random init, frozen)",-,0,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2_ablation,random_baseline_01,"no_pretrain (random init, frozen)",-,1,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2_ablation,random_baseline_02,"no_pretrain (random init, frozen)",-,2,0.0,0,0,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_dense_plus_sparse,unsup->sup (ablation): dense_plus_sparse,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_l1000,unsup->sup (ablation): l1000,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_mtr,unsup->sup (ablation): mtr,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_pcba,unsup->sup (ablation): pcba,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_pcqm,unsup->sup (ablation): pcqm,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation,seq_sparse_all,unsup->sup (ablation): sparse_all,2M+2M,0,0.0,0,1,1,0,1,1,0,0,0,1,0
climb_v2_ablation_dedup,ecfp4_anchor,classical: Morgan+XGBoost,-,0,0.0,0,0,0,0,1,1,1,1,1,1,1
climb_v2_ablation_dedup,random_baseline_00,"no_pretrain (random init, frozen)",-,0,0.166,1,0,1,0,1,1,1,1,1,1,1
climb_v2_ablation_dedup,random_baseline_01,"no_pretrain (random init, frozen)",-,1,0.166,1,0,1,0,1,1,1,1,1,1,1
climb_v2_ablation_dedup,random_baseline_02,"no_pretrain (random init, frozen)",-,2,0.166,1,0,1,0,1,1,1,1,1,1,1
climb_v2_ablation_dedup,seq_dense_plus_sparse,unsup->sup (ablation): dense_plus_sparse,2M+2M,0,0.166,1,1,1,1,1,1,1,1,1,1,1
climb_v2_ablation_dedup,seq_l1000,unsup->sup (ablation): l1000,2M+2M,0,0.166,1,1,1,1,1,1,1,1,1,1,1
climb_v2_ablation_dedup,seq_mtr,unsup->sup (ablation): mtr,2M+2M,0,0.166,1,1,1,1,1,1,1,1,1,1,1
climb_v2_ablation_dedup,seq_pcba,unsup->sup (ablation): pcba,2M+2M,0,0.166,1,1,1,1,1,1,1,1,1,1,1
climb_v2_ablation_dedup,seq_pcqm,unsup->sup (ablation): pcqm,2M+2M,0,0.166,1,1,1,1,1,1,1,1,1,1,1
