canonical_key,task
C1COCCOCCOCCOCCO1,polaris/tdcommons__ames
C1COCO1,polaris/tdcommons__ames
C1COCO1,polaris/tdcommons__ld50-zhu
C=CC(=O)OC[C@H]1CO1,polaris/tdcommons__ames
CC(=O)NC(CS)C(=O)[O-],polaris/tdcommons__vdss-lombardo
CC(=O)NO,polaris/tdcommons__pgp-broccatelli
CC(=O)N[C@H](CC(=O)O)C(=O)O,polaris/tdcommons__pgp-broccatelli
CC(=O)OC1CCCCC1C(C)(C)C,polaris/tdcommons__ld50-zhu
CC(=O)OCCC1=CCC2CC1C2(C)C,polaris/tdcommons__ld50-zhu
CC(C)(C)C(=O)NCCCC(=O)O,polaris/tdcommons__bbb-martins
CC(Cl)(Cl)Cl,polaris/tdcommons__bbb-martins
CC1CCC(=O)CC1,polaris/tdcommons__ld50-zhu
CCC1CO1,polaris/tdcommons__ames
CCC1CO1,polaris/tdcommons__ld50-zhu
CCCC(=O)OC1CCCCC1,polaris/tdcommons__ames
CCCC(CCC)C(=O)O,polaris/tdcommons__bbb-martins
CCCC(O)Cl,polaris/tdcommons__bbb-martins
CCCCC(CC)CNC(=O)CC(C)O,polaris/tdcommons__bbb-martins
CCCCCCCCC1CO1,polaris/tdcommons__ames
CCCCCCCCC=CCCCCCCCC(=O)OCC1CO1,polaris/tdcommons__ld50-zhu
CCOC(=O)C=CC(=O)OCC1CO1,polaris/tdcommons__ld50-zhu
CC[C@H]1CO1,polaris/tdcommons__ames
CN1CCCCCC1=O,polaris/tdcommons__ld50-zhu
C[N+](C)(C)CCO,polaris/tdcommons__bbb-martins
