track,model,task,seed,target_label,metric,value
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,pr_auc,0.531761
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,accuracy,0.839623
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,f1,0.0
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,cohen_kappa,0.0
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,mcc,0.0
polaris,CheMeleon,polaris/pkis2-ret-wt-cls-v2,42,CLS_RET,roc_auc,0.84534
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,explained_var,0.493314
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,pearsonr,0.709821
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,mean_absolute_error,19.7225
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,spearmanr,0.636467
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,mean_squared_error,710.026
polaris,CheMeleon,polaris/pkis2-ret-wt-reg-v2,42,RET,r2,0.402035
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,pr_auc,0.709325
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,accuracy,0.827586
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,f1,0.230769
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,cohen_kappa,0.183099
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,mcc,0.270121
polaris,CheMeleon,polaris/pkis2-kit-wt-cls-v2,42,CLS_KIT,roc_auc,0.84236
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,explained_var,0.380452
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,pearsonr,0.627581
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,mean_absolute_error,21.2556
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,spearmanr,0.556403
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,mean_squared_error,763.734
polaris,CheMeleon,polaris/pkis2-kit-wt-reg-v2,42,KIT,r2,0.367081
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,explained_var,0.438702
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,pearsonr,0.662988
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,mean_absolute_error,17.8803
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,spearmanr,0.359461
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,mean_squared_error,485.443
polaris,CheMeleon,polaris/pkis2-egfr-wt-reg-v2,42,EGFR,r2,0.39754
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,explained_var,0.424938
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,pearsonr,0.653649
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,mean_absolute_error,0.371633
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,spearmanr,0.5568
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,mean_squared_error,0.314718
polaris,CheMeleon,polaris/adme-fang-solu-1,42,LOG_SOLUBILITY,r2,0.419531
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,explained_var,0.476103
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,pearsonr,0.707071
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,mean_absolute_error,0.510989
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,spearmanr,0.78
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,mean_squared_error,0.465503
polaris,CheMeleon,polaris/adme-fang-rppb-1,42,LOG_RPPB,r2,0.47607
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,explained_var,0.603335
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,pearsonr,0.780189
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,mean_absolute_error,0.433632
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,spearmanr,0.746734
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,mean_squared_error,0.265172
polaris,CheMeleon,polaris/adme-fang-hppb-1,42,LOG_HPPB,r2,0.562162
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,explained_var,0.628472
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,pearsonr,0.792771
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,mean_absolute_error,0.315529
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,spearmanr,0.785116
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,mean_squared_error,0.184735
polaris,CheMeleon,polaris/adme-fang-perm-1,42,LOG_MDR1-MDCK_ER,r2,0.627093
polaris,CheMeleon,polaris/adme-fang-rclint-1,42,LOG_RLM_CLint,explained_var,0.547699
polaris,CheMeleon,polaris/adme-fang-rclint-1,42,LOG_RLM_CLint,pearsonr,0.741159
polaris,CheMeleon,polaris/adme-fang-rclint-1,42,LOG_RLM_CLint,mean_absolute_error,0.401377
