model,mean_overall_rmse,mean_cliff_rmse,mean_noncliff_rmse,cliff_consistency_rate,n_tasks
CheMeleon,0.6664,0.7645,0.6135,29/30,30
Chemprop,0.8317,0.8955,0.8015,24/30,30
Chemprop_Mordred,0.7598,0.8417,0.7213,27/30,30
MLP_PLR_Pretrained,0.7448,0.8397,0.6959,28/30,30
MoLFormer,0.7465,0.8539,0.6894,30/30,30
MolCLR,0.977,1.0099,0.9637,17/30,30
PCA_MLP,0.7528,0.837,0.7114,26/30,30
PCA_MLP_Prefitted,0.7486,0.8325,0.7077,27/30,30
RF,0.7023,0.7872,0.659,28/30,30
RF_Mordred,0.7353,0.8127,0.6975,26/30,30
RF_Morgan,0.6937,0.7811,0.6435,27/30,30
chemeleon_frozen,1.8435,0.8827,2.2307,12/30,30
ecfp4,0.6877,0.7662,0.6416,25/30,30
fastprop,0.7337,0.8231,0.6895,28/30,30
fp_desc,0.6757,0.7692,0.626,29/30,30
minimol,0.7002,0.7923,0.6565,26/30,30
random_baseline_00,0.8318,0.8767,0.811,25/30,30
skip_dense_8M,0.7741,0.8571,0.7306,27/30,30
skip_dense_plus_sparse_8M,0.812,0.8805,0.7802,25/30,30
skip_minimol_full_8M,0.8727,0.9204,0.8517,19/30,30
skip_mixed_8M,0.7913,0.8777,0.7521,28/30,30
skip_sparse_all_8M,0.8706,0.9172,0.8509,21/30,30
u2s_dense_from8M,0.7767,0.8585,0.7356,26/30,30
u2s_dense_plus_sparse_from8M,1.0797,0.9462,1.1255,18/30,30
u2s_minimol_full_from8M,0.9168,0.9548,0.9021,19/30,30
u2s_mixed_from8M,0.8366,0.9004,0.8067,23/30,30
u2s_sparse_all_from8M,0.9273,0.9546,0.9138,19/30,30
unsup_8M,0.7766,0.8642,0.7348,28/30,30
