task,model,subset,mean,std,n_seeds,source
CHEMBL1862_Ki,ecfp4,overall,0.8813427689791653,0.0015789538787780578,3,ours
CHEMBL1862_Ki,ecfp4,cliff,0.6867977242444109,0.0024044141069069027,3,ours
CHEMBL1862_Ki,ecfp4,noncliff,0.9970988736222337,0.002323144351208587,3,ours
CHEMBL1871_Ki,ecfp4,overall,0.7088661728285283,0.003760491186760723,3,ours
CHEMBL1871_Ki,ecfp4,cliff,0.9352273287137709,0.007660272484451628,3,ours
CHEMBL1871_Ki,ecfp4,noncliff,0.6210644737269,0.003821500634838027,3,ours
CHEMBL2034_Ki,ecfp4,overall,0.7379883473601148,0.0027909870203440545,3,ours
CHEMBL2034_Ki,ecfp4,cliff,0.8619080739904182,0.00748938901564221,3,ours
CHEMBL2034_Ki,ecfp4,noncliff,0.6644575806094146,0.003325536562473026,3,ours
CHEMBL2047_EC50,ecfp4,overall,0.6405966962958536,0.001141373620559745,3,ours
CHEMBL2047_EC50,ecfp4,cliff,0.7291318439579333,0.002413194378481111,3,ours
CHEMBL2047_EC50,ecfp4,noncliff,0.5767370553653033,0.0005353586992976118,3,ours
CHEMBL204_Ki,ecfp4,overall,0.8859500949272187,0.0019990648716618643,3,ours
CHEMBL204_Ki,ecfp4,cliff,0.9328925746142468,0.0025826791818271415,3,ours
CHEMBL204_Ki,ecfp4,noncliff,0.85352080080964,0.0020457165068739017,3,ours
CHEMBL2147_Ki,ecfp4,overall,0.7609389207572386,0.005555144040993943,3,ours
CHEMBL2147_Ki,ecfp4,cliff,0.6628898438080094,0.003101935823323909,3,ours
CHEMBL2147_Ki,ecfp4,noncliff,0.8185374340235968,0.006914625757999879,3,ours
CHEMBL214_Ki,ecfp4,overall,0.7457237028987744,0.0009183118719839286,3,ours
CHEMBL214_Ki,ecfp4,cliff,0.7845861615243557,0.0013025149941193305,3,ours
CHEMBL214_Ki,ecfp4,noncliff,0.7221430892275243,0.002044717656875519,3,ours
CHEMBL218_EC50,ecfp4,overall,0.7597249486256817,0.001206449013336938,3,ours
CHEMBL218_EC50,ecfp4,cliff,0.7877345296855787,0.004422428312099506,3,ours
CHEMBL218_EC50,ecfp4,noncliff,0.7431130406196139,0.0007619207519218561,3,ours
CHEMBL219_Ki,ecfp4,overall,0.7999599650363511,0.0016242271192679456,3,ours
CHEMBL219_Ki,ecfp4,cliff,0.8504399723415956,0.0012350245162474874,3,ours
CHEMBL219_Ki,ecfp4,noncliff,0.7650988826161705,0.002140071058433724,3,ours
CHEMBL228_Ki,ecfp4,overall,0.7692358521835267,0.0016416708650920967,3,ours
CHEMBL228_Ki,ecfp4,cliff,0.7669826703750915,0.002477268773339776,3,ours
CHEMBL228_Ki,ecfp4,noncliff,0.770562440385782,0.0016163791628419082,3,ours
CHEMBL231_Ki,ecfp4,overall,0.8041640450125769,0.006255929648838657,3,ours
CHEMBL231_Ki,ecfp4,cliff,0.9313909454960209,0.005723345174999578,3,ours
CHEMBL231_Ki,ecfp4,noncliff,0.7586463025298616,0.006602981320395235,3,ours
CHEMBL233_Ki,ecfp4,overall,0.8721841530845511,0.002188903691288806,3,ours
CHEMBL233_Ki,ecfp4,cliff,0.9302517939238923,0.002123387200920209,3,ours
CHEMBL233_Ki,ecfp4,noncliff,0.8292388391586722,0.002523599482298522,3,ours
CHEMBL234_Ki,ecfp4,overall,0.7197519777602707,0.0009586013071367582,3,ours
CHEMBL234_Ki,ecfp4,cliff,0.6753354305511478,0.0009463371643878254,3,ours
CHEMBL234_Ki,ecfp4,noncliff,0.7523657558524525,0.0011007511726091298,3,ours
CHEMBL235_EC50,ecfp4,overall,0.7602811663721301,0.002296839685296977,3,ours
CHEMBL235_EC50,ecfp4,cliff,0.8582933561142221,0.0005469746508868897,3,ours
CHEMBL235_EC50,ecfp4,noncliff,0.6942430586128714,0.003866366753751965,3,ours
CHEMBL236_Ki,ecfp4,overall,0.7926783184467963,0.0015644247146127778,3,ours
CHEMBL236_Ki,ecfp4,cliff,0.8520913345826193,0.0033003078739862767,3,ours
CHEMBL236_Ki,ecfp4,noncliff,0.7519633811416317,0.0006921359463726508,3,ours
CHEMBL237_EC50,ecfp4,overall,0.8419105758739442,0.002329223671584578,3,ours
CHEMBL237_EC50,ecfp4,cliff,0.9016007977389944,0.00451178392149048,3,ours
CHEMBL237_EC50,ecfp4,noncliff,0.7848296814781793,0.0007814168593971004,3,ours
CHEMBL237_Ki,ecfp4,overall,0.8124114269500174,0.0012479783393299965,3,ours
CHEMBL237_Ki,ecfp4,cliff,0.8444488791333097,0.00024257037650691083,3,ours
CHEMBL237_Ki,ecfp4,noncliff,0.7876683487123021,0.0020736601939426677,3,ours
CHEMBL238_Ki,ecfp4,overall,0.6771541435919697,0.004669136854358195,3,ours
CHEMBL238_Ki,ecfp4,cliff,0.7632514216506677,0.007121951574795365,3,ours
CHEMBL238_Ki,ecfp4,noncliff,0.644487198454966,0.003992560871265675,3,ours
CHEMBL239_EC50,ecfp4,overall,0.7632744709611174,0.0006776519184962905,3,ours
CHEMBL239_EC50,ecfp4,cliff,0.8902874412650319,0.0005682110978189908,3,ours
CHEMBL239_EC50,ecfp4,noncliff,0.662444749372494,0.0011239829264241108,3,ours
CHEMBL244_Ki,ecfp4,overall,0.8751897858347091,0.0012335033286246216,3,ours
CHEMBL244_Ki,ecfp4,cliff,0.8987857918276014,0.0009963970655442879,3,ours
CHEMBL244_Ki,ecfp4,noncliff,0.8531314234227972,0.0015125259340926767,3,ours
CHEMBL262_Ki,ecfp4,overall,0.8096219811985403,0.0033761147086251745,3,ours
CHEMBL262_Ki,ecfp4,cliff,0.8126056185147954,0.0016061903842971618,3,ours
CHEMBL262_Ki,ecfp4,noncliff,0.8089419297866126,0.003954102048109546,3,ours
CHEMBL264_Ki,ecfp4,overall,0.7127384664421269,0.0006177624405759494,3,ours
CHEMBL264_Ki,ecfp4,cliff,0.7311655434084419,0.0011457603473890876,3,ours
CHEMBL264_Ki,ecfp4,noncliff,0.6992942425594441,0.0010693198462855703,3,ours
CHEMBL2835_Ki,ecfp4,overall,0.46693873041584555,0.002638572865586002,3,ours
CHEMBL2835_Ki,ecfp4,cliff,0.8824643048079885,0.004252298722210316,3,ours
CHEMBL2835_Ki,ecfp4,noncliff,0.3918220950409222,0.0025054213331814346,3,ours
CHEMBL287_Ki,ecfp4,overall,0.757895818557074,0.0018395512494003604,3,ours
CHEMBL287_Ki,ecfp4,cliff,0.8162084399407367,0.0016536855330922294,3,ours
CHEMBL287_Ki,ecfp4,noncliff,0.7188579063508118,0.002117771110980711,3,ours
CHEMBL2971_Ki,ecfp4,overall,0.7182077245161709,0.007666176155294563,3,ours
CHEMBL2971_Ki,ecfp4,cliff,0.7562811172832655,0.007867532046944273,3,ours
CHEMBL2971_Ki,ecfp4,noncliff,0.7099883769251466,0.009328760689192259,3,ours
