task,model,metric,mean,std,n_seeds,source,leak_flag
polaris/adme-fang-hclint-1,chemeleon_frozen,pearsonr,0.21317469660262922,0.01938783437231418,3,ours,False
polaris/adme-fang-hppb-1,chemeleon_frozen,pearsonr,0.5375620498122677,0.05483813333856558,3,ours,False
polaris/adme-fang-perm-1,chemeleon_frozen,pearsonr,0.6378339839358887,0.06161870348782247,3,ours,False
polaris/adme-fang-rclint-1,chemeleon_frozen,pearsonr,0.6791469261763544,0.004593638714522142,3,ours,False
polaris/adme-fang-rppb-1,chemeleon_frozen,pearsonr,0.3085515928553379,0.10346988837639973,3,ours,False
polaris/adme-fang-solu-1,chemeleon_frozen,pearsonr,0.6188617445219956,0.006503604275327415,3,ours,False
polaris/pkis2-egfr-wt-reg-v2,chemeleon_frozen,mean_squared_error,895.2904180112768,40.85437369568963,3,ours,False
polaris/pkis2-kit-wt-cls-v2,chemeleon_frozen,pr_auc,0.43514699653080774,0.07570238428880333,3,ours,False
polaris/pkis2-kit-wt-reg-v2,chemeleon_frozen,mean_squared_error,5011.494072762356,4958.091052259223,3,ours,False
polaris/pkis2-ret-wt-cls-v2,chemeleon_frozen,pr_auc,0.6375383010657271,0.01110396561346793,3,ours,False
polaris/pkis2-ret-wt-reg-v2,chemeleon_frozen,mean_squared_error,899.2118166100169,47.35926861251746,3,ours,False
tdcommons/ames,chemeleon_frozen,roc_auc,0.8312505303282487,0.0012747738381851399,3,ours,True
tdcommons/bbb-martins,chemeleon_frozen,roc_auc,0.9061197102355638,0.0012321513424406324,3,ours,True
tdcommons/bioavailability-ma,chemeleon_frozen,roc_auc,0.6520341425562576,0.006205757677542787,3,ours,False
tdcommons/caco2-wang,chemeleon_frozen,mean_absolute_error,0.3832511080488096,0.04590877805955077,3,ours,False
tdcommons/clearance-hepatocyte-az,chemeleon_frozen,spearmanr,0.38686720468734614,0.009216038912059776,3,ours,False
tdcommons/clearance-microsome-az,chemeleon_frozen,spearmanr,0.49538550712172785,0.010116401324417008,3,ours,False
tdcommons/cyp2c9-substrate-carbonmangels,chemeleon_frozen,pr_auc,0.376211618596966,0.006425083413570535,3,ours,False
tdcommons/cyp2d6-substrate-carbonmangels,chemeleon_frozen,pr_auc,0.5832723204751914,0.00887442049522734,3,ours,False
tdcommons/cyp3a4-substrate-carbonmangels,chemeleon_frozen,roc_auc,0.6208559373116336,0.00799455416196566,3,ours,False
tdcommons/dili,chemeleon_frozen,roc_auc,0.8882608695652173,0.0019765480720269277,3,ours,False
tdcommons/half-life-obach,chemeleon_frozen,spearmanr,0.1432378694232005,0.05646295324401748,3,ours,False
tdcommons/herg,chemeleon_frozen,roc_auc,0.7922434953362788,0.02655435407483931,3,ours,False
tdcommons/ld50-zhu,chemeleon_frozen,mean_absolute_error,0.645910234886414,0.010114903165447338,3,ours,True
tdcommons/lipophilicity-astrazeneca,chemeleon_frozen,mean_absolute_error,0.5566895262028397,0.0015227921387935264,3,ours,False
tdcommons/pgp-broccatelli,chemeleon_frozen,roc_auc,0.91435617168755,0.0005681467987445285,3,ours,True
tdcommons/ppbr-az,chemeleon_frozen,mean_absolute_error,9.394665982915528,0.07132941569855654,3,ours,False
tdcommons/vdss-lombardo,chemeleon_frozen,spearmanr,0.06090241434861941,0.01156288050972314,3,ours,True
polaris/adme-fang-hclint-1,ecfp4,pearsonr,0.5798518780238839,0.011093524065399268,3,ours,False
polaris/adme-fang-hppb-1,ecfp4,pearsonr,0.5273508719640937,0.030468801550746157,3,ours,False
polaris/adme-fang-perm-1,ecfp4,pearsonr,0.7044200109382504,0.002180862312536202,3,ours,False
polaris/adme-fang-rclint-1,ecfp4,pearsonr,0.602970718554889,0.002527012153601686,3,ours,False
polaris/adme-fang-rppb-1,ecfp4,pearsonr,0.6732784128555342,0.07653074060957189,3,ours,False
