smiles,y,cluster,fold
Cn1nc(C2CCCCC2)nc2c(=O)n(C)c(=O)nc1-2,1,3,5
Cn1nc(C2CCCCC2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,1,3
Cn1nc(C(C)(C)C)nc2c(=O)n(C)c(=O)nc1-2,1,4,1
Cn1nc(C(C)(C)C)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,2,4
Cn1nc(C2CCOC2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,1,3
Cn1nc(CNC(=O)OC(C)(C)C)nc2c(=O)n(C)c(=O)nc1-2,1,9,3
Cn1nc(CNC(=O)OC(C)(C)C)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,9,3
Cc1nc2c(=O)[nH]c(=O)nc-2n(C)n1,1,4,1
CCCCn1c(=O)nc2n(C)nc(C)[n+]([O-])c-2c1=O,1,2,4
Cc1nc2c(=O)n(C3CCCCC3)c(=O)nc-2n(C)n1,1,3,5
Cc1nn(C)c2nc(=O)n(C3CCCCC3)c(=O)c-2[n+]1[O-],1,1,3
Cc1nc2c(=O)n(Cc3ccccc3)c(=O)nc-2n(C)n1,1,4,1
Cc1nn(C)c2nc(=O)n(-c3ccccc3)c(=O)c-2[n+]1[O-],1,2,4
CC(C)c1nc2c(=O)n(C3CCCCC3)c(=O)nc-2n(C)n1,1,3,5
Cn1nc(Cc2ccccc2)nc2c(=O)n(C3CCCCC3)c(=O)nc1-2,1,10,2
CC(C)c1nn(C)c2nc(=O)n(C3CCCCC3)c(=O)c-2[n+]1[O-],1,1,3
Cn1nc(C2CCCCC2)nc2c(=O)n(C3CCCCC3)c(=O)nc1-2,1,3,5
Cn1nc(C2CCCCC2)[n+]([O-])c2c(=O)n(C3CCCCC3)c(=O)nc1-2,1,1,3
Cn1nc(Cc2ccccc2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,7,1
Cn1nc(CCc2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,1,10,2
Cn1nc(CCc2ccccc2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,7,1
Cc1nc2c(=O)n(C)c(=O)nc-2n(C)n1,1,4,1
Cc1nn(C)c2nc(=O)n(C)c(=O)c-2[n+]1[O-],1,2,4
CC(C)c1nc2c(=O)n(C)c(=O)nc-2n(C)n1,1,4,1
CC(C)c1nn(C)c2nc(=O)n(C)c(=O)c-2[n+]1[O-],1,2,4
Cn1nc(C2CC2)nc2c(=O)n(C)c(=O)nc1-2,1,3,5
Cn1nc(C2CC2)[n+]([O-])c2c(=O)n(C)c(=O)nc1-2,1,1,3
Cn1nc(-c2cccnc2)nc2c(=O)n(C)c(=O)nc1-2,1,0,2
Cn1nc(Cc2ccccc2)nc2c(=O)n(C)c(=O)nc1-2,1,10,2
Cc1ccc(-c2nc3c(=O)n(C)c(=O)nc-3n(C)n2)cc1,1,0,2
Cn1nc(-c2ccc(F)cc2)nc2c(=O)n(C)c(=O)nc1-2,1,0,2
COc1ccc(-c2nc3c(=O)n(C)c(=O)nc-3n(C)n2)cc1,1,0,2
Cn1nc(-c2ccccn2)nc2c(=O)n(C)c(=O)nc1-2,1,0,2
Cn1nc(-c2ccncc2)nc2c(=O)n(C)c(=O)nc1-2,1,0,2
NOCC(=O)O,1,5,5
COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4O)c3o2)cc1,1,8,4
O=C(CCCCCCCCc1ccccc1)c1c(O)cc(O)cc1O,1,5,5
COc1cc(O)c(C2C(=O)c3c(O)cc(O)cc3O[C@H]2c2ccc(O)c(O)c2)c2oc(-c3ccc(O)cc3)cc(=O)c12,1,8,4
Oc1cc(O)cc(CCC/C=C\CCCCCCCCCc2cc(O)cc(O)c2)c1,1,5,5
Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(=O)c7c(O)cc(C)c8c1c2c(c34)c(c65)c78,1,6,1
N=C1C=C(N)C(=O)c2nc(O)ccc21,1,0,2
Cc1cc(=O)c2c(O)c3c(O)cc(O)c4c5c(O)cc(O)c6c(O)c7c(=O)cc(C)c8c1c2c(c34)c(c65)c78,1,6,1
O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)c(O)c2)[C@H]1c1c(O)cc(O)c2c(=O)cc(-c3ccc(O)cc3)oc12,1,8,4
O=C(CCc1nnc2ccc(NCc3ccccc3)nn12)NCC1CCN(C2CCCC2)C1,0,1082,2
Cc1cccc(OCc2nc(C#N)c(NCCN(C)C)o2)c1,0,55,1
CCOC(=O)Cn1c(=O)oc2cc(S(=O)(=O)NCC3CCCO3)ccc21,0,1759,1
Cc1cccc(NC(=O)C2CCN(S(=O)(=O)c3ccc4c(c3)NC(=O)CO4)CC2)c1C,0,727,4
COC(=O)C1=C(N)Oc2cc(C)n(CC3CCCO3)c(=O)c2C1c1ccccc1,0,133,5
COc1ccccc1N1CCN(S(=O)(=O)c2ccc3c4c(cccc24)C(=O)N3)CC1,0,1844,4
CCc1nn(C(CC)C(=O)NCC(C)c2ccccc2)c(=O)c2cc3occc3n12,0,2130,4
CCOc1ccccc1N(C)S(=O)(=O)c1ccc2c(c1)CCN2C(=O)CCC(=O)O,0,2219,4
COCCNC(=O)c1ccc(CS(=O)(=O)c2ccc(C)cc2)o1,0,375,4
COc1cccc(C2C(C(=O)c3ccc4c(c3)CC(C)O4)=C(O)C(=O)N2c2nnc(C)s2)c1,0,362,2
COc1ccc(OC)c(N(C)S(=O)(=O)c2cc3c(cc2C)NC(=O)CO3)c1,0,739,2
Cc1c(NC(=O)C(C)N(c2ccccc2)S(C)(=O)=O)c(=O)n(-c2ccccc2)n1C,0,105,3
Cc1noc(C)c1S(=O)(=O)N1CCC(C(=O)NCCCN2CC(C)CC(C)C2)CC1,0,2138,1
CCOC(=O)C1=C(C)NC(=O)NC1c1ccc(-c2ccccc2F)o1,0,1087,2
CCOc1ccc(S(=O)(=O)N(C)CC(=O)NCc2ccco2)cc1,0,1780,5
COc1ccc(CCNC(=O)C2CCN(S(=O)(=O)c3ccc(C)cc3)CC2)cc1,0,2257,3
CCOc1ccc(-n2c(=O)c3c(C)c(C)sc3n(CC(=O)NCc3ccco3)c2=O)cc1,0,415,1
O=C(NCC1CCCO1)c1ccc(CS(=O)(=O)c2ccc(Cl)cc2)o1,0,178,4
Cc1ccccc1S(=O)(=O)Cc1ccc(C(=O)NCc2ccccc2)o1,0,1251,4
Cc1cc(=O)oc2c(C)c(OC(C)C(=O)NC[C@H]3CC[C@H](C(=O)O)CC3)ccc12,0,725,3
Cc1nn(C(C)C(=O)Nc2ccccc2Cl)c(=O)c2nn(-c3ccccc3)c(C)c12,0,2432,3
COc1ccc(S(=O)(=O)Nc2cccnc2)cc1OC,0,1323,2
CCOC(=O)C1CCCN(S(=O)(=O)c2cc3c(cc2Br)CCN3C(C)=O)C1,0,2177,2
Cc1cccc(NC(=O)Cn2nnc(C(=O)NCc3ccco3)c2N)c1,0,675,2
CCCCc1c(O)nc(SCC(=O)N2CCCCCC2)[nH]c1=O,0,2027,1
CCN(c1ccc(C)c(C)c1)S(=O)(=O)c1c(C)[nH]c(=O)[nH]c1=O,0,823,3
O=C(CSc1nnc(CNC(=O)c2ccccc2F)o1)NC1CCCC1,0,687,2
O=C(Cn1ccc2ccccc2c1=O)NCC(=O)N1CCN(c2ccccc2F)CC1,0,484,5
COc1ccc(-n2c(SCC(=O)Nc3ccccc3OC)nc(O)cc2=O)cc1,0,525,4
CCC(C)NC(=O)C1CCC(=O)N(c2ccc3c(c2)OCO3)C1c1ccc(OC)cc1,0,2245,5
CCCN1CCN(S(=O)(=O)c2c(C)[nH]c(C)c2C(=O)N2CCCCC2)CC1,0,1446,4
CCOc1ccc(N(C)C(=O)CCc2nnc3ccc(NCc4ccco4)nn23)cc1,0,2353,5
Cn1c(=O)oc2cc(S(=O)(=O)NC3CCCc4ccccc43)ccc21,0,497,5
O=C(CCNS(=O)(=O)c1ccc(Br)cc1)NCc1ccc(F)cc1,0,1144,3
CCCCCn1c(=O)[nH]c2cc(C(=O)NCc3ccco3)ccc2c1=O,0,553,5
Nc1nnc(SCc2nnc(-c3ccccc3)o2)s1,0,1545,3
O=C(CSc1nc(-c2ccccc2)cc(=O)[nH]1)Nc1ccccc1F,0,514,4
Cc1noc(/C=C/N(C)C)c1S(=O)(=O)N1CCC(C(=O)NC(C)(C)C)CC1,0,2138,1
COc1ccc(CCNC(=O)c2ccc3c(c2)NC(=O)C(C(C)C)N3)cc1OC,0,1360,3
CCc1ccc(NC(=O)CSc2nc3ccsc3c(=O)n2CCC(=O)O)cc1,0,1075,5
Cc1ccccc1-c1nc(CS(=O)(=O)CC(=O)NC2CCCC2)c(C)o1,0,69,2
Cc1cc(=O)n2nc(N3CCCC(C(=O)Nc4ccc(C)c(C)c4)C3)sc2n1,0,1808,2
COc1ccc(N2CC(C(=O)Nc3nc4ccc(S(C)(=O)=O)cc4s3)CC2=O)cc1,0,1115,2
CCc1ccc(NC(=O)C2CC(=O)N=C(N)S2)cc1,0,244,5
Cc1ccc(C)c(NS(=O)(=O)c2ccc3[nH]c(=O)[nH]c3c2)c1,0,1959,4
COc1ccc(C)cc1NC(=O)C1CCCN(S(=O)(=O)c2ccc3c(c2)CCCN3C(C)=O)C1,0,1681,4
CCCN(CCC)CCCNC(=O)Cn1cnc2sc(C)c(S(=O)(=O)N3CCCCC3)c2c1=O,0,1162,5
CC(C(=O)OCC(=O)c1ccccc1)N1C(=O)C2C3CCC(C3)C2C1=O,0,540,1
CCC(C)NC(=O)C1CCC(CNS(=O)(=O)c2ccccc2)CC1,0,798,3
O=C(CSc1nnc2c(n1)[nH]c1ccccc12)N1CCCCC1,0,96,1
Cc1ccc(C)c(-n2c(CNC(=O)c3ccco3)nnc2SCC(=O)Nc2nnc(C)s2)c1,0,601,3
C=CCN(c1ccccc1)S(=O)(=O)c1ccc2[nH]cc(C(=O)NCCOC)c(=O)c2c1,0,2378,4
Cc1ccc(-n2nc(C)c(C(=O)N3CCN(C(=O)c4ccco4)CC3)c2-n2cccc2)cc1,0,2203,2
COC(=O)c1cc(S(=O)(=O)N2CCN(c3ccccc3F)CC2)c[nH]1,0,436,5
COCc1cc(C)nc(SCC(=O)Nc2cccc(C)c2C)c1C#N,0,32,1
COc1ccc(CCNC(=O)Cn2c(=O)[nH]c3ccsc3c2=O)cc1OC,0,591,3
O=C(Cn1ncc2c([nH]c3ccccc32)c1=O)Nc1cccnc1,0,1197,1
