arm,metric,mean,std_over_seeds,n_seeds
ecfp4,nef1,0.7905555555555556,0.0,1
ecfp4,roc_auc,0.9947329324911989,0.0,1
fp_desc,nef1,0.93,0.0,1
fp_desc,roc_auc,0.9950045890514867,0.0,1
no_pretrain,nef1,0.7577777777777778,0.02928678967354937,3
no_pretrain,roc_auc,0.943739654412712,0.0027620313007493094,3
no_pretrain_e2e,nef1,0.845925925925926,0.03759897774636985,3
no_pretrain_e2e,roc_auc,0.9685881912420783,0.012013571330703632,3
unsup_only,nef1,0.7351851851851853,0.05234127485548992,3
unsup_only,roc_auc,0.957080940533643,0.005464752404207206,3
sup_only:dense,nef1,0.8451851851851853,0.031003451288034865,3
sup_only:dense,roc_auc,0.9658475156696622,0.012539008365943047,3
sup_only:sparse_all,nef1,0.6996296296296297,0.025204921460770708,3
sup_only:sparse_all,roc_auc,0.9620590630868276,0.01889154907182638,3
sup_only:dense_plus_sparse,nef1,0.8416666666666668,0.032145502536643174,3
sup_only:dense_plus_sparse,roc_auc,0.9637652558495642,0.017959502627087728,3
unsup2sup:dense,nef1,0.7627777777777777,0.04609102641566346,3
unsup2sup:dense,roc_auc,0.9258625555996386,0.04112673187451498,3
unsup2sup:sparse_all,nef1,0.7042592592592593,0.18451582732920074,3
unsup2sup:sparse_all,roc_auc,0.9497016846815814,0.028372800802035428,3
unsup2sup:dense_plus_sparse,nef1,0.6987037037037037,0.0207299906002889,3
unsup2sup:dense_plus_sparse,roc_auc,0.9214874226427826,0.04251272754731553,3
sup_only:mixed,nef1,0.8150000000000001,0.0,1
sup_only:mixed,roc_auc,0.9717334541231114,0.0,1
sup_only:minimol_full,nef1,0.76,0.0,1
sup_only:minimol_full,roc_auc,0.9575177377725534,0.0,1
unsup2sup:mixed,nef1,0.7677777777777777,0.0,1
unsup2sup:mixed,roc_auc,0.9388013905318424,0.0,1
unsup2sup:minimol_full,nef1,0.5677777777777777,0.0,1
unsup2sup:minimol_full,roc_auc,0.9429087315392375,0.0,1
sup2unsup:dense,nef1,0.7435185185185186,0.05111513671747436,3
sup2unsup:dense,roc_auc,0.9460905665041827,0.015863034237806734,3
chemeleon_frozen,nef1,0.7883333333333333,0.0,1
chemeleon_frozen,roc_auc,0.9358184051012154,0.0,1
chemprop_e2e,nef1,0.46166666666666667,0.028867513459481284,3
chemprop_e2e,roc_auc,0.8993370939146764,0.008517900760916776,3
chemeleon_e2e,nef1,0.7838888888888889,0.011547005383792525,3
chemeleon_e2e,roc_auc,0.9772532121817258,0.0047611012101144955,3
