arm,run,nef1_mean,nef1_std_fold,roc_auc_mean,roc_auc_std_fold
ecfp4,ecfp4_anchor,0.7905555555555556,0.1209734181596708,0.9947329324911989,0.005162184925740527
fp_desc,fp_desc_anchor,0.93,0.057879184513951125,0.9950045890514867,0.005413064235770716
no_pretrain,random_baseline_00,0.7327777777777778,0.20901296551431067,0.9419320277502587,0.06565010554791127
no_pretrain,random_baseline_01,0.79,0.1736375535418534,0.9423679059906107,0.07461721862922246
no_pretrain,random_baseline_02,0.7505555555555555,0.08819870943318284,0.9469190294972669,0.06903432172317193
no_pretrain_e2e,e2e_random_00,0.8877777777777778,0.10185925898991857,0.9798977658311777,0.028346988821892728
no_pretrain_e2e,e2e_random_01,0.8150000000000001,0.15620499351813308,0.9559766778441017,0.04422926537525317
no_pretrain_e2e,e2e_random_02,0.835,0.14628738838327793,0.9698901300509558,0.03520069004322472
unsup_only,unsup_8M,0.6977777777777778,0.3230802751601076,0.951706008514698,0.0452598415438123
unsup_only,unsup_8M_s1,0.795,0.15604486534327236,0.9569055236983106,0.06360354484533924
unsup_only,unsup_8M_s2,0.7127777777777778,0.24206926873148837,0.9626312893879204,0.04284535502008826
sup_only:dense,skip_dense_8M,0.835,0.14628738838327793,0.9528474658453956,0.052452039302778024
sup_only:dense,skip_dense_8M_s1,0.8205555555555556,0.10630726488768882,0.9778680259976017,0.024829637755290172
sup_only:dense,skip_dense_8M_s2,0.8800000000000001,0.11224972160321824,0.9668270551659894,0.04914559320926314
sup_only:sparse_all,skip_sparse_all_8M,0.6727777777777778,0.13423767387145738,0.982897741643991,0.011477375956530445
sup_only:sparse_all,skip_sparse_all_8M_s1,0.7033333333333334,0.149870314309109,0.9460537831241144,0.064314739263994
sup_only:sparse_all,skip_sparse_all_8M_s2,0.7227777777777777,0.13035327118504533,0.9572256644923771,0.058921114685232555
sup_only:dense_plus_sparse,skip_dense_plus_sparse_8M,0.805,0.15280706789936127,0.9447575067166701,0.08883874144698056
sup_only:dense_plus_sparse,skip_dense_plus_sparse_8M_s1,0.8550000000000001,0.14696938456699069,0.9660877072083114,0.04909042591957437
sup_only:dense_plus_sparse,skip_dense_plus_sparse_8M_s2,0.865,0.12409673645990858,0.9804505536237114,0.0345162977511282
unsup2sup:dense,u2s_dense_from8M,0.8150000000000001,0.15620499351813308,0.9444632136729624,0.04550156118226676
unsup2sup:dense,u2s_dense_from8M_s1,0.7277777777777777,0.18604891166267054,0.9544029415946422,0.05679305550855164
unsup2sup:dense,u2s_dense_from8M_s2,0.7455555555555555,0.1392284737445418,0.8787215115313112,0.12937772183905277
unsup2sup:sparse_all,u2s_sparse_all_from8M,0.865,0.12409673645990858,0.9818520632604135,0.021390752099725924
unsup2sup:sparse_all,u2s_sparse_all_from8M_s1,0.745,0.14177446878757824,0.9390836643725355,0.05197028258032101
unsup2sup:sparse_all,u2s_sparse_all_from8M_s2,0.5027777777777778,0.3096194398465061,0.9281693264117953,0.07316743485010338
unsup2sup:dense_plus_sparse,u2s_dense_plus_sparse_from8M,0.7155555555555556,0.13497370571547596,0.8736357618473258,0.13327927266054349
unsup2sup:dense_plus_sparse,u2s_dense_plus_sparse_from8M_s1,0.705,0.19519221295943134,0.9548998711338935,0.05990563735907284
unsup2sup:dense_plus_sparse,u2s_dense_plus_sparse_from8M_s2,0.6755555555555556,0.13365008671531922,0.9359266349471282,0.07014613049108433
sup_only:mixed,skip_mixed_8M,0.8150000000000001,0.15620499351813308,0.9717334541231114,0.030235199241781693
sup_only:minimol_full,skip_minimol_full_8M,0.76,0.1383835250309805,0.9575177377725534,0.04153501414301084
unsup2sup:mixed,u2s_mixed_from8M,0.7677777777777777,0.10144937313084774,0.9388013905318424,0.05429312290047741
unsup2sup:minimol_full,u2s_minimol_full_from8M,0.5677777777777777,0.29983843386022596,0.9429087315392375,0.04838956640931075
sup2unsup:dense,s2u_dense_from8M_s0,0.7427777777777778,0.28272047007164314,0.9641252109855836,0.04645800417344024
sup2unsup:dense,s2u_dense_from8M_s1,0.6927777777777777,0.2769632502252034,0.9342984372338069,0.05331091221450996
sup2unsup:dense,s2u_dense_from8M_s2,0.795,0.17492855684535902,0.9398480512931575,0.07376587368672474
chemeleon_frozen,chemeleon_frozen,0.7883333333333333,0.141578403877302,0.9358184051012154,0.07294280297014359
chemprop_e2e,chemprop_e2e_s0,0.445,0.38999999999999996,0.8900893402656933,0.10439367686424124
chemprop_e2e,chemprop_e2e_s1,0.445,0.38999999999999996,0.9068616469893925,0.0911052769877639
chemprop_e2e,chemprop_e2e_s2,0.495,0.3336914742692717,0.9010602944889431,0.09570942975537448
chemeleon_e2e,chemeleon_e2e_s0,0.7905555555555556,0.1209734181596708,0.9804035755222446,0.024389576288121283
chemeleon_e2e,chemeleon_e2e_s1,0.7705555555555555,0.1259237472578417,0.9795798881267557,0.031136208387496884
chemeleon_e2e,chemeleon_e2e_s2,0.7905555555555556,0.1209734181596708,0.9717761728961772,0.04534617916026757
