mode,klass,pair_id,smiles_a,smiles_b,note
stereo_flip,A,stereo_flip_000,Cc1cccc(N2C[C@@H]3CCN(C(=O)c4cc(F)ccc4-n4nccn4)C[C@@H]32)n1,Cc1cccc(N2C[C@H]3CCN(C(=O)c4cc(F)ccc4-n4nccn4)C[C@@H]32)n1,inverted stereocentre at atom 8
stereo_flip,A,stereo_flip_001,CC(C)N(CCN1C=CC=CC=C1)C(=O)[C@H](C)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,CC(C)N(CCN1C=CC=CC=C1)C(=O)[C@@H](C)N1CC[C@H](NS(=O)(=O)c2ccc3cc(Cl)ccc3c2)C1=O,inverted stereocentre at atom 15
stereo_flip,A,stereo_flip_002,O=C(N[C@@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccccc1,O=C(N[C@H]1CC[C@@]2(O)[C@H]3Cc4ccc(O)c5c4[C@@]2(CCN3CC2CC2)[C@H]1O5)c1ccccc1,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_003,C[C@H]1[C@H]2Cc3ccc(C(N)=O)cc3[C@@]1(C)CCN2C[C@H]1CCCO1,C[C@@H]1[C@H]2Cc3ccc(C(N)=O)cc3[C@@]1(C)CCN2C[C@H]1CCCO1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_004,C[C@H]1C2Cc3cc([N+](=O)[O-])c(O)cc3[C@@]1(C)CCN2CC1CC1,C[C@@H]1C2Cc3cc([N+](=O)[O-])c(O)cc3[C@@]1(C)CCN2CC1CC1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_005,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NC[C@@H]1CNC(N)=N[C@@H]1C,Cc1ccc(NS(=O)(=O)Cc2ccccc2)c(=O)n1CC(=O)NC[C@H]1CNC(N)=N[C@@H]1C,inverted stereocentre at atom 24
stereo_flip,A,stereo_flip_006,N=C(N)NCCCC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,N=C(N)NCCCC1CCN(C(=O)[C@@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,inverted stereocentre at atom 13
stereo_flip,A,stereo_flip_007,NC(=O)[C@@H]1CSSC[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,NC(=O)[C@H]1CSSC[C@@H](NC(=O)[C@@H](N)Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](Cc2cccc3ccccc23)C(=O)N1,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_008,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,CC(=O)OCC(=O)[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@@]21C,inverted stereocentre at atom 7
stereo_flip,A,stereo_flip_009,O=C(N[C@@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1ccncc1,O=C(N[C@]12CCC(=O)[C@@H]3Oc4c(O)ccc5c4[C@@]31CCN(CC1CC1)[C@@H]2C5)c1ccncc1,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_010,COc1cccc(C[NH2+]C[C@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(N3CCCCS3(=O)=O)c2)c1,COc1cccc(C[NH2+]C[C@@H](O)[C@H](Cc2cc(F)cc(F)c2)NC(=O)c2cc(C(C)=O)cc(N3CCCCS3(=O)=O)c2)c1,inverted stereocentre at atom 10
stereo_flip,A,stereo_flip_011,CC[C@@]12CCN(CC3CC3)C[C@@H]1Oc1ccc(O)cc12,CC[C@]12CCN(CC3CC3)C[C@@H]1Oc1ccc(O)cc12,inverted stereocentre at atom 2
stereo_flip,A,stereo_flip_012,CNC(=O)CCCC1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3ccc(Cl)c(Cl)c3)c2)CC1,CNC(=O)CCCC1CCN(C(=O)[C@@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2cccc(-c3ccc(Cl)c(Cl)c3)c2)CC1,inverted stereocentre at atom 13
stereo_flip,A,stereo_flip_013,C[C@H](C1=C(CCN(C)Cc2nccs2)Cc2ccccc21)c1cnccn1,C[C@@H](C1=C(CCN(C)Cc2nccs2)Cc2ccccc21)c1cnccn1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_014,CC(C)[C@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,CC(C)[C@@H]1C(=O)N2CCC[C@H]2[C@]2(O)O[C@](NC(=O)[C@@H]3C=C4c5cccc6[nH]cc(c56)C[C@H]4N(C)C3)(C(C)C)C(=O)N12,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_015,C=C(Br)CN1[C@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,C=C(Br)CN1[C@@H]2CC[C@@H]1[C@@H](C(=O)OC)[C@@H](c1ccc(I)cc1)C2,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_016,COc1ccc(C(=O)N2C[C@H](Oc3cc(C#N)ccn3)CC[C@H]2C)c(-n2nccn2)n1,COc1ccc(C(=O)N2C[C@@H](Oc3cc(C#N)ccn3)CC[C@H]2C)c(-n2nccn2)n1,inverted stereocentre at atom 10
stereo_flip,A,stereo_flip_017,Cc1ccc2[nH]c(C(=O)N[C@H]3CN(S(=O)(=O)c4ccnnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,Cc1ccc2[nH]c(C(=O)N[C@@H]3CN(S(=O)(=O)c4ccnnc4)C[C@@H]3C(=O)NCCN(C)C)cc2c1,inverted stereocentre at atom 10
stereo_flip,A,stereo_flip_018,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1CCCCC1)C(=O)C(=O)O,NCCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)CC1CCCCC1)C(=O)C(=O)O,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_019,CC(C)c1nc(CN2CC[C@H](c3ccccc3)C2)cs1,CC(C)c1nc(CN2CC[C@@H](c3ccccc3)C2)cs1,inverted stereocentre at atom 10
stereo_flip,A,stereo_flip_020,COc1ccc(NS(=O)(=O)c2ccc(-c3cc(C)cs3)cc2)cc1N1C[C@@H](C)N[C@@H](C)C1,COc1ccc(NS(=O)(=O)c2ccc(-c3cc(C)cs3)cc2)cc1N1C[C@H](C)N[C@@H](C)C1,inverted stereocentre at atom 26
stereo_flip,A,stereo_flip_021,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5C)[C@H](C)C3)cccc2n1,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5C)[C@@H](C)C3)cccc2n1,inverted stereocentre at atom 25
stereo_flip,A,stereo_flip_022,O=C(O)C[C@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O,O=C(O)C[C@@H]1C[C@@]2(O)[C@H]3Cc4ccc(O)cc4[C@@]2(CCN3CC2CC2)CC1=O,inverted stereocentre at atom 4
stereo_flip,A,stereo_flip_023,NC(=O)C[C@H]1COc2cc(F)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,NC(=O)C[C@@H]1COc2cc(F)ccc2N1C(=O)c1ccc2c(c1)NC(=O)CO2,inverted stereocentre at atom 4
stereo_flip,A,stereo_flip_024,CCCOC[C@@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,CCCOC[C@H]1[C@H]2CNC[C@]21c1ccc(Cl)c(Cl)c1,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_025,C[C@H]1C2Cc3ccc(NCc4ccccc4)cc3[C@@]1(C)CCN2CC1CC1,C[C@@H]1C2Cc3ccc(NCc4ccccc4)cc3[C@@]1(C)CCN2CC1CC1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_026,Cc1ccc([C@@](C)(O)[C@H]2CCCC3=Cc4c(-c5ccc(F)cc5)ncn4C[C@@]32C)s1,Cc1ccc([C@](C)(O)[C@H]2CCCC3=Cc4c(-c5ccc(F)cc5)ncn4C[C@@]32C)s1,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_027,CNCCCC[C@@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCCN(C(=N)N)CC1,CNCCCC[C@H](NC(=O)[C@@H](CC(C)C)NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N1CCCN(C(=N)N)CC1,inverted stereocentre at atom 6
stereo_flip,A,stereo_flip_028,CCC(CC)C(=O)N(Cc1ccccc1)[C@H](C)CN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(O)c1)C2,CCC(CC)C(=O)N(Cc1ccccc1)[C@@H](C)CN1[C@@H]2CC[C@H]1C[C@@H](c1cccc(O)c1)C2,inverted stereocentre at atom 15
stereo_flip,A,stereo_flip_029,NC(=O)[C@@H]1Cc2ccccc2CN1C(=O)CCCCN1CCN(c2noc3ccccc23)CC1,NC(=O)[C@H]1Cc2ccccc2CN1C(=O)CCCCN1CCN(c2noc3ccccc23)CC1,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_030,CO[C@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4cc(Br)c(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,CO[C@@]12CC[C@@]3(C[C@@H]1[C@@](C)(O)C(C)(C)C)[C@H]1Cc4cc(Br)c(O)c5c4[C@@]3(CCN1CC1CC1)[C@H]2O5,inverted stereocentre at atom 2
stereo_flip,A,stereo_flip_031,COc1ccc2c3c1O[C@H]1c4c(c(-c5ccccc5)cn4Cc4ccccc4)C[C@@]4(O)C(C2)N(C)CC[C@]314,COc1ccc2c3c1O[C@@H]1c4c(c(-c5ccccc5)cn4Cc4ccccc4)C[C@@]4(O)C(C2)N(C)CC[C@]314,inverted stereocentre at atom 9
stereo_flip,A,stereo_flip_032,NCCCC[C@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,NCCCC[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](N)Cc1ccccc1)C(=O)c1nccs1,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_033,COCC(=O)Nc1cccc([C@@]2(C3CCCCC3)N=C(N)N(C)C2=O)c1,COCC(=O)Nc1cccc([C@]2(C3CCCCC3)N=C(N)N(C)C2=O)c1,inverted stereocentre at atom 11
stereo_flip,A,stereo_flip_034,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CCc2ccccc2)C(=O)CO)c1,NC(=O)c1cccc([C@@H]2C[C@H]3CC[C@@H](C2)N3CCN(CCc2ccccc2)C(=O)CO)c1,inverted stereocentre at atom 8
stereo_flip,A,stereo_flip_035,COc1ccc(N2C[C@@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccoc2)cc1,COc1ccc(N2C[C@H](C)N[C@@H](C)C2)cc1NS(=O)(=O)c1ccc(-c2ccoc2)cc1,inverted stereocentre at atom 8
stereo_flip,A,stereo_flip_036,CCOC(=O)[C@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C/C4=N\OCc1csc2ccc(Cl)cc12,CCOC(=O)[C@@]1(C)CCC[C@@]2(C)[C@@H]3CC[C@@]4(C)C[C@]3(CC[C@@H]21)C/C4=N\OCc1csc2ccc(Cl)cc12,inverted stereocentre at atom 5
stereo_flip,A,stereo_flip_037,CC#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,CC#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3[C@@H](c3ccc(N(C)C)cc3)C[C@@]21C,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_038,CC(C)COC(=O)OC[C@@H](NS(=O)(=O)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)NCc1ccc(C(=N)N)cc1,CC(C)COC(=O)OC[C@H](NS(=O)(=O)Cc1ccccc1)C(=O)N[C@@H](C)C(=O)NCc1ccc(C(=N)N)cc1,inverted stereocentre at atom 9
stereo_flip,A,stereo_flip_039,NC(=O)c1cccc([C@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)Nc2ccc3c(c2)OCO3)c1,NC(=O)c1cccc([C@@H]2C[C@H]3CC[C@@H](C2)N3CCN(CC2CCCCC2)C(=O)Nc2ccc3c(c2)OCO3)c1,inverted stereocentre at atom 8
stereo_flip,A,stereo_flip_040,CCC[C@H]1C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNc2cccc(OC)c2)=CN(CC(=O)OC(C)C)C=C1C(=O)OC(C)(C)C,CCC[C@@H]1C(C(=O)N[C@@H](Cc2ccccc2)[C@H](O)CNc2cccc(OC)c2)=CN(CC(=O)OC(C)C)C=C1C(=O)OC(C)(C)C,inverted stereocentre at atom 3
stereo_flip,A,stereo_flip_041,CO[C@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5c4CCO5)CC3)CC2)C1,CO[C@@H]1CC[C@H](CC(=O)N[C@H]2CC[C@H](CCN3CCN(c4nccc5c4CCO5)CC3)CC2)C1,inverted stereocentre at atom 2
stereo_flip,A,stereo_flip_042,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@@]4(C)[C@H]3CC[C@@]21C,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_043,CC(C)OC(=O)C1CCN(C(=O)[C@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,CC(C)OC(=O)C1CCN(C(=O)[C@@H](Cc2cccc(C(=N)N)c2)NS(=O)(=O)c2ccc3ccccc3c2)CC1,inverted stereocentre at atom 12
stereo_flip,A,stereo_flip_044,O=c1[nH]c(=O)n(C[C@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)o1,O=c1[nH]c(=O)n(C[C@@H]2C3CCC(CC3)[C@@H]2Nc2nc(-c3c[nH]c4ncc(F)cc34)ncc2F)o1,inverted stereocentre at atom 7
stereo_flip,A,stereo_flip_045,O=C(Nc1cn(CC(=O)N2C[C@H]3CN(CC4CCC4)C[C@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,O=C(Nc1cn(CC(=O)N2C[C@@H]3CN(CC4CCC4)C[C@H]3C2)nc1-c1cc(Cl)ccc1OC(F)F)c1cnn2cccnc12,inverted stereocentre at atom 11
stereo_flip,A,stereo_flip_046,CN1C2CCC1[C@@H](C(=O)N[C@H]1CC[C@H](NC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(-c5ccsc5)cc3)N4C)CC1)[C@@H](c1ccc(-c3ccsc3)cc1)C2,CN1C2CCC1[C@H](C(=O)N[C@H]1CC[C@H](NC(=O)[C@H]3C4CCC(C[C@@H]3c3ccc(-c5ccsc5)cc3)N4C)CC1)[C@@H](c1ccc(-c3ccsc3)cc1)C2,inverted stereocentre at atom 6
stereo_flip,A,stereo_flip_047,CCCN(C(C)C)[C@@H]1CCc2c(F)cccc2C1,CCCN(C(C)C)[C@H]1CCc2c(F)cccc2C1,inverted stereocentre at atom 7
stereo_flip,A,stereo_flip_048,C[C@@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccc(F)cc1-c1ncccn1,C[C@H]1CC[C@@H](Oc2cc(C#N)ccn2)CN1C(=O)c1ccc(F)cc1-c1ncccn1,inverted stereocentre at atom 1
stereo_flip,A,stereo_flip_049,O=C(O)c1cccc(CNc2nc3ccccc3n([C@H]3C[C@H]4CC[C@@H](C3)N4C3CCCCCCC3)c2=O)c1,O=C(O)c1cccc(CNc2nc3ccccc3n([C@@H]3C[C@H]4CC[C@@H](C3)N4C3CCCCCCC3)c2=O)c1,inverted stereocentre at atom 19
stereo_flip,A,stereo_flip_050,CC(C)(N)C(=O)N[C@H](COCc1ccccc1)c1nnnn1CCOC(=O)NCCCCO,CC(C)(N)C(=O)N[C@@H](COCc1ccccc1)c1nnnn1CCOC(=O)NCCCCO,inverted stereocentre at atom 7
