input,klass,mode,embedding,short,relative_response,q1,q3,ci_lo,ci_hi,n,reference_matched_mw
canonical,A,add_fluorine,CLIMB sup,sup,0.1855,0.1466,0.2443,0.1762,0.1964,1000,1.4301
canonical,A,add_methyl,CLIMB sup,sup,0.2025,0.1241,0.3065,0.1879,0.2159,1000,1.4301
canonical,A,c_to_n,CLIMB sup,sup,0.0546,0.0429,0.0772,0.0515,0.0572,1000,1.4301
canonical,A,ez_flip,CLIMB sup,sup,0.0131,0.0108,0.0166,0.0124,0.0138,1000,1.4301
canonical,A,isotope_13c,CLIMB sup,sup,0.2049,0.1474,0.294,0.1931,0.2172,1000,1.4301
canonical,B,kekule,CLIMB sup,sup,0.0,0.0,0.0,0.0,0.0,1000,1.4301
canonical,A,matched_descriptors,CLIMB sup,sup,0.4617,0.3853,0.5538,0.4403,0.4839,1000,1.4301
canonical,A,matched_mw,CLIMB sup,sup,1.0,0.658,1.2817,0.9454,1.0612,1000,1.4301
canonical,A,regioisomer,CLIMB sup,sup,0.2918,0.2375,0.3551,0.2758,0.3054,1000,1.4301
canonical,A,ring_size,CLIMB sup,sup,0.0716,0.0506,0.0995,0.068,0.0757,1000,1.4301
canonical,B,smiles_enumeration,CLIMB sup,sup,0.0,0.0,0.0,0.0,0.0,1000,1.4301
canonical,A,stereo_flip,CLIMB sup,sup,0.0088,0.0074,0.0108,0.0084,0.0093,1000,1.4301
canonical,B,symmetry_equivalent,CLIMB sup,sup,0.0,0.0,0.0,0.0,0.0,1000,1.4301
as_written,A,add_fluorine,CLIMB sup,sup,0.1855,0.1466,0.2443,0.1766,0.1966,1000,1.4301
as_written,A,add_methyl,CLIMB sup,sup,0.2025,0.1241,0.3065,0.1872,0.2151,1000,1.4301
as_written,A,c_to_n,CLIMB sup,sup,0.0546,0.0429,0.0772,0.0514,0.0572,1000,1.4301
as_written,A,ez_flip,CLIMB sup,sup,0.0131,0.0108,0.0166,0.0124,0.0138,1000,1.4301
as_written,A,isotope_13c,CLIMB sup,sup,0.2049,0.1474,0.294,0.1934,0.2168,1000,1.4301
as_written,B,kekule,CLIMB sup,sup,1.3435,1.195,1.4582,1.282,1.4027,1000,1.4301
