task,seed,subset,metric,value,n_test
CHEMBL1862_Ki,42,overall,rmse,0.8692367321004036,161
CHEMBL1862_Ki,42,overall,mae,0.6736294242265521,161
CHEMBL1862_Ki,42,overall,r2,0.654383844057981,161
CHEMBL1862_Ki,42,overall,spearman,0.8013054980446286,161
CHEMBL1862_Ki,42,overall,pearson,0.8173225720071087,161
CHEMBL1862_Ki,42,cliff,rmse,0.8578302574314477,67
CHEMBL1862_Ki,42,noncliff,rmse,0.8772763559206577,94
CHEMBL1862_Ki,117,overall,rmse,0.8192270173291893,161
CHEMBL1862_Ki,117,overall,mae,0.6299020213226195,161
CHEMBL1862_Ki,117,overall,r2,0.6930084456936284,161
CHEMBL1862_Ki,117,overall,spearman,0.8152864044168393,161
CHEMBL1862_Ki,117,overall,pearson,0.8372839852163052,161
CHEMBL1862_Ki,117,cliff,rmse,0.8382398847342463,67
CHEMBL1862_Ki,117,noncliff,rmse,0.8054013725253863,94
CHEMBL1862_Ki,709,overall,rmse,0.873010740209807,161
CHEMBL1862_Ki,709,overall,mae,0.6709865319645008,161
CHEMBL1862_Ki,709,overall,r2,0.6513761714063508,161
CHEMBL1862_Ki,709,overall,spearman,0.7957873245916726,161
CHEMBL1862_Ki,709,overall,pearson,0.8174157932533158,161
CHEMBL1862_Ki,709,cliff,rmse,0.8786340757969502,67
CHEMBL1862_Ki,709,noncliff,rmse,0.8689804060472197,94
CHEMBL1871_Ki,42,overall,rmse,0.723903279925083,134
CHEMBL1871_Ki,42,overall,mae,0.5668367277346109,134
CHEMBL1871_Ki,42,overall,r2,0.554481456764876,134
CHEMBL1871_Ki,42,overall,spearman,0.7342311001384058,134
CHEMBL1871_Ki,42,overall,pearson,0.7500653119661669,134
CHEMBL1871_Ki,42,cliff,rmse,0.9696580221610667,32
CHEMBL1871_Ki,42,noncliff,rmse,0.6272664373219731,102
CHEMBL1871_Ki,117,overall,rmse,0.7009026901738874,134
CHEMBL1871_Ki,117,overall,mae,0.5484493307027458,134
