task,seed,subset,metric,value,n_test
CHEMBL1862_Ki,42,overall,rmse,0.8193258566054481,161
CHEMBL1862_Ki,42,overall,mae,0.6234301567565745,161
CHEMBL1862_Ki,42,overall,r2,0.6929343645102066,161
CHEMBL1862_Ki,42,overall,spearman,0.8374051069703244,161
CHEMBL1862_Ki,42,overall,pearson,0.8327709028642731,161
CHEMBL1862_Ki,42,cliff,rmse,0.7607307176246968,67
CHEMBL1862_Ki,42,noncliff,rmse,0.8586532025425034,94
CHEMBL1862_Ki,117,overall,rmse,0.8289810972026392,161
CHEMBL1862_Ki,117,overall,mae,0.6336251989161715,161
CHEMBL1862_Ki,117,overall,r2,0.6856545705796855,161
CHEMBL1862_Ki,117,overall,spearman,0.8442805383022775,161
CHEMBL1862_Ki,117,overall,pearson,0.828317726478972,161
CHEMBL1862_Ki,117,cliff,rmse,0.7501475441340933,67
CHEMBL1862_Ki,117,noncliff,rmse,0.8808749611715759,94
CHEMBL1862_Ki,709,overall,rmse,0.8423254714986717,161
CHEMBL1862_Ki,709,overall,mae,0.641155628514372,161
CHEMBL1862_Ki,709,overall,r2,0.6754528780580928,161
CHEMBL1862_Ki,709,overall,spearman,0.8250258799171845,161
CHEMBL1862_Ki,709,overall,pearson,0.8229146942429157,161
CHEMBL1862_Ki,709,cliff,rmse,0.7687667611292145,67
CHEMBL1862_Ki,709,noncliff,rmse,0.8910566753559596,94
CHEMBL1871_Ki,42,overall,rmse,0.7427880265301218,134
CHEMBL1871_Ki,42,overall,mae,0.6099418190805979,134
CHEMBL1871_Ki,42,overall,r2,0.5309334270203494,134
CHEMBL1871_Ki,42,overall,spearman,0.7371737802216985,134
CHEMBL1871_Ki,42,overall,pearson,0.7316152531296921,134
CHEMBL1871_Ki,42,cliff,rmse,0.9012872476447886,32
CHEMBL1871_Ki,42,noncliff,rmse,0.6855523358350345,102
CHEMBL1871_Ki,117,overall,rmse,0.7666385728687258,134
CHEMBL1871_Ki,117,overall,mae,0.618758668393685,134
CHEMBL1871_Ki,117,overall,r2,0.5003268313162603,134
CHEMBL1871_Ki,117,overall,spearman,0.6931632563997058,134
CHEMBL1871_Ki,117,overall,pearson,0.7090999855222543,134
CHEMBL1871_Ki,117,cliff,rmse,0.916806829093045,32
CHEMBL1871_Ki,117,noncliff,rmse,0.7130391844213968,102
CHEMBL1871_Ki,709,overall,rmse,0.7420582063910975,134
CHEMBL1871_Ki,709,overall,mae,0.6085310942214205,134
