task,seed,metric,value
polaris/adme-fang-hclint-1,42,mean_absolute_error,0.38021119826423677
polaris/adme-fang-hclint-1,42,pearsonr,0.6635646698015217
polaris/adme-fang-hclint-1,42,mean_squared_error,0.24197935674724685
polaris/adme-fang-hclint-1,42,spearmanr,0.6683408355453117
polaris/adme-fang-hclint-1,42,r2,0.3770000812393397
polaris/adme-fang-hclint-1,42,explained_var,0.37705022702742463
polaris/adme-fang-hclint-1,117,mean_absolute_error,0.37517814233434443
polaris/adme-fang-hclint-1,117,pearsonr,0.6725943277842625
polaris/adme-fang-hclint-1,117,mean_squared_error,0.22421216209662323
polaris/adme-fang-hclint-1,117,spearmanr,0.6776845347896013
polaris/adme-fang-hclint-1,117,r2,0.4227434908125173
polaris/adme-fang-hclint-1,117,explained_var,0.42274374450275143
polaris/adme-fang-hclint-1,709,mean_absolute_error,0.38307834734314133
polaris/adme-fang-hclint-1,709,pearsonr,0.6572523314486038
polaris/adme-fang-hclint-1,709,mean_squared_error,0.23934909723560147
polaris/adme-fang-hclint-1,709,spearmanr,0.6684296266398945
polaris/adme-fang-hclint-1,709,r2,0.3837719459310296
polaris/adme-fang-hclint-1,709,explained_var,0.38383165616861503
polaris/adme-fang-hppb-1,42,mean_absolute_error,0.45324848788726757
polaris/adme-fang-hppb-1,42,pearsonr,0.7520137752671172
polaris/adme-fang-hppb-1,42,mean_squared_error,0.31758231991573893
polaris/adme-fang-hppb-1,42,spearmanr,0.7170906889290912
polaris/adme-fang-hppb-1,42,r2,0.47562416305067456
polaris/adme-fang-hppb-1,42,explained_var,0.5651269209023573
polaris/adme-fang-hppb-1,117,mean_absolute_error,0.4463736763998822
polaris/adme-fang-hppb-1,117,pearsonr,0.7780406974508141
polaris/adme-fang-hppb-1,117,mean_squared_error,0.29500815184575363
polaris/adme-fang-hppb-1,117,spearmanr,0.785850716633777
polaris/adme-fang-hppb-1,117,r2,0.5128974856911603
polaris/adme-fang-hppb-1,117,explained_var,0.6032686446289601
polaris/adme-fang-hppb-1,709,mean_absolute_error,0.4413704335987047
polaris/adme-fang-hppb-1,709,pearsonr,0.7497181815343141
polaris/adme-fang-hppb-1,709,mean_squared_error,0.31049100761792525
polaris/adme-fang-hppb-1,709,spearmanr,0.7397050980408545
polaris/adme-fang-hppb-1,709,r2,0.4873329786491679
polaris/adme-fang-hppb-1,709,explained_var,0.5620589859015681
polaris/adme-fang-perm-1,42,mean_absolute_error,0.36312624607021315
polaris/adme-fang-perm-1,42,pearsonr,0.7478463711344
polaris/adme-fang-perm-1,42,mean_squared_error,0.2253676968624224
polaris/adme-fang-perm-1,42,spearmanr,0.7440448944721326
polaris/adme-fang-perm-1,42,r2,0.5450725144338324
polaris/adme-fang-perm-1,42,explained_var,0.5450725192574319
polaris/adme-fang-perm-1,117,mean_absolute_error,0.370832699339944
polaris/adme-fang-perm-1,117,pearsonr,0.7426022605447532
polaris/adme-fang-perm-1,117,mean_squared_error,0.2288957546499298
polaris/adme-fang-perm-1,117,spearmanr,0.7465544148666186
polaris/adme-fang-perm-1,117,r2,0.5379507730283519
polaris/adme-fang-perm-1,117,explained_var,0.5380381770095817
polaris/adme-fang-perm-1,709,mean_absolute_error,0.37789336779878074
polaris/adme-fang-perm-1,709,pearsonr,0.7274195369334179
polaris/adme-fang-perm-1,709,mean_squared_error,0.24165290014943408
polaris/adme-fang-perm-1,709,spearmanr,0.7276489849349966
polaris/adme-fang-perm-1,709,r2,0.512199184819887
polaris/adme-fang-perm-1,709,explained_var,0.5122637323932709
polaris/adme-fang-rclint-1,42,mean_absolute_error,0.452467060429551
polaris/adme-fang-rclint-1,42,pearsonr,0.6566428413830896
polaris/adme-fang-rclint-1,42,mean_squared_error,0.3311327872164155
polaris/adme-fang-rclint-1,42,spearmanr,0.6526116931961361
polaris/adme-fang-rclint-1,42,r2,0.4134501679296121
polaris/adme-fang-rclint-1,42,explained_var,0.4144897011198089
polaris/adme-fang-rclint-1,117,mean_absolute_error,0.4463407404881096
polaris/adme-fang-rclint-1,117,pearsonr,0.6729850641793563
polaris/adme-fang-rclint-1,117,mean_squared_error,0.3166255521871024
polaris/adme-fang-rclint-1,117,spearmanr,0.6678182853595858
polaris/adme-fang-rclint-1,117,r2,0.43914746097564294
polaris/adme-fang-rclint-1,117,explained_var,0.43948543569443954
polaris/adme-fang-rclint-1,709,mean_absolute_error,0.4504044951820254
polaris/adme-fang-rclint-1,709,pearsonr,0.6572180372350223
polaris/adme-fang-rclint-1,709,mean_squared_error,0.3365617717288859
polaris/adme-fang-rclint-1,709,spearmanr,0.6485533644453018
polaris/adme-fang-rclint-1,709,r2,0.40383357278398824
polaris/adme-fang-rclint-1,709,explained_var,0.4061536084999826
polaris/adme-fang-rppb-1,42,mean_absolute_error,0.5078484690328381
polaris/adme-fang-rppb-1,42,pearsonr,0.7494184150630132
polaris/adme-fang-rppb-1,42,mean_squared_error,0.4287399411542334
polaris/adme-fang-rppb-1,42,spearmanr,0.7791304347826087
polaris/adme-fang-rppb-1,42,r2,0.5174466693666278
polaris/adme-fang-rppb-1,42,explained_var,0.5380665117094929
polaris/adme-fang-rppb-1,117,mean_absolute_error,0.5277640809728403
polaris/adme-fang-rppb-1,117,pearsonr,0.7119427244571268
polaris/adme-fang-rppb-1,117,mean_squared_error,0.4673235216193376
polaris/adme-fang-rppb-1,117,spearmanr,0.6756521739130433
polaris/adme-fang-rppb-1,117,r2,0.47402026218125437
polaris/adme-fang-rppb-1,117,explained_var,0.4969663636243131
polaris/adme-fang-rppb-1,709,mean_absolute_error,0.5335362019862137
polaris/adme-fang-rppb-1,709,pearsonr,0.7194808451372865
polaris/adme-fang-rppb-1,709,mean_squared_error,0.46916712244116526
polaris/adme-fang-rppb-1,709,spearmanr,0.7556521739130433
polaris/adme-fang-rppb-1,709,r2,0.47194526139048054
polaris/adme-fang-rppb-1,709,explained_var,0.5035412958222099
polaris/adme-fang-solu-1,42,mean_absolute_error,0.4453225724410059
polaris/adme-fang-solu-1,42,pearsonr,0.5528408097925911
polaris/adme-fang-solu-1,42,mean_squared_error,0.39139731548106943
polaris/adme-fang-solu-1,42,spearmanr,0.4876073541202198
polaris/adme-fang-solu-1,42,r2,0.2781026647143502
polaris/adme-fang-solu-1,42,explained_var,0.2886039483141215
polaris/adme-fang-solu-1,117,mean_absolute_error,0.4589050219074133
polaris/adme-fang-solu-1,117,pearsonr,0.528097963587746
polaris/adme-fang-solu-1,117,mean_squared_error,0.40568876252281816
polaris/adme-fang-solu-1,117,spearmanr,0.48163814265498694
polaris/adme-fang-solu-1,117,r2,0.25174336911178896
polaris/adme-fang-solu-1,117,explained_var,0.2521047404922714
polaris/adme-fang-solu-1,709,mean_absolute_error,0.4523143040549415
polaris/adme-fang-solu-1,709,pearsonr,0.5302452814254456
polaris/adme-fang-solu-1,709,mean_squared_error,0.4069189577940274
polaris/adme-fang-solu-1,709,spearmanr,0.4425651249793976
polaris/adme-fang-solu-1,709,r2,0.2494743839832747
polaris/adme-fang-solu-1,709,explained_var,0.26439453045072114
polaris/pkis2-egfr-wt-reg-v2,42,mean_absolute_error,19.606375647751648
polaris/pkis2-egfr-wt-reg-v2,42,pearsonr,0.5523432476003636
polaris/pkis2-egfr-wt-reg-v2,42,mean_squared_error,577.4631086249035
polaris/pkis2-egfr-wt-reg-v2,42,spearmanr,0.3069419650220881
polaris/pkis2-egfr-wt-reg-v2,42,r2,0.2833386654700911
polaris/pkis2-egfr-wt-reg-v2,42,explained_var,0.28846576455008255
polaris/pkis2-egfr-wt-reg-v2,117,mean_absolute_error,19.287237817734873
polaris/pkis2-egfr-wt-reg-v2,117,pearsonr,0.5630381982085869
polaris/pkis2-egfr-wt-reg-v2,117,mean_squared_error,572.0985818197547
polaris/pkis2-egfr-wt-reg-v2,117,spearmanr,0.3465523998753398
polaris/pkis2-egfr-wt-reg-v2,117,r2,0.28999631836925954
polaris/pkis2-egfr-wt-reg-v2,117,explained_var,0.30054470509639286
polaris/pkis2-egfr-wt-reg-v2,709,mean_absolute_error,19.058326516657953
polaris/pkis2-egfr-wt-reg-v2,709,pearsonr,0.5666835017278417
polaris/pkis2-egfr-wt-reg-v2,709,mean_squared_error,565.6483311155929
polaris/pkis2-egfr-wt-reg-v2,709,spearmanr,0.3319281278921708
polaris/pkis2-egfr-wt-reg-v2,709,r2,0.29800141031133165
polaris/pkis2-egfr-wt-reg-v2,709,explained_var,0.3028684315038306
polaris/pkis2-kit-wt-cls-v2,42,pr_auc,0.6744481250776384
polaris/pkis2-kit-wt-cls-v2,42,accuracy,0.8706896551724138
polaris/pkis2-kit-wt-cls-v2,42,cohen_kappa,0.5011467889908257
polaris/pkis2-kit-wt-cls-v2,42,mcc,0.5252255891810518
