task,seed,metric,value
polaris/adme-fang-hclint-1,43,mean_squared_error,0.2475651553537505
polaris/adme-fang-hclint-1,43,pearsonr,0.649418924347289
polaris/adme-fang-hclint-1,43,spearmanr,0.6495152930346507
polaris/adme-fang-hclint-1,43,explained_var,0.3626315683679828
polaris/adme-fang-hclint-1,43,mean_absolute_error,0.3930111370457346
polaris/adme-fang-hclint-1,43,r2,0.3626188872199668
polaris/adme-fang-hclint-1,118,mean_squared_error,0.2348125942555678
polaris/adme-fang-hclint-1,118,pearsonr,0.6615417165888391
polaris/adme-fang-hclint-1,118,spearmanr,0.6658363710351881
polaris/adme-fang-hclint-1,118,explained_var,0.39608532150455567
polaris/adme-fang-hclint-1,118,mean_absolute_error,0.3790377981501689
polaris/adme-fang-hclint-1,118,r2,0.3954516240077448
polaris/adme-fang-hclint-1,710,mean_squared_error,0.2369012015473493
polaris/adme-fang-hclint-1,710,pearsonr,0.66304378722064
polaris/adme-fang-hclint-1,710,spearmanr,0.6676733829419236
polaris/adme-fang-hclint-1,710,explained_var,0.39010277238602686
polaris/adme-fang-hclint-1,710,mean_absolute_error,0.3844247379664946
polaris/adme-fang-hclint-1,710,r2,0.3900742968233357
polaris/adme-fang-hppb-1,43,mean_squared_error,0.30528503363524345
polaris/adme-fang-hppb-1,43,pearsonr,0.7868656512862321
polaris/adme-fang-hppb-1,43,spearmanr,0.7543739039511876
polaris/adme-fang-hppb-1,43,explained_var,0.6141456213330945
polaris/adme-fang-hppb-1,43,mean_absolute_error,0.46101195448531235
polaris/adme-fang-hppb-1,43,r2,0.49592881913874387
polaris/adme-fang-hppb-1,118,mean_squared_error,0.35177161976134624
polaris/adme-fang-hppb-1,118,pearsonr,0.692927185304353
polaris/adme-fang-hppb-1,118,spearmanr,0.6723202708902624
polaris/adme-fang-hppb-1,118,explained_var,0.47863956443033684
polaris/adme-fang-hppb-1,118,mean_absolute_error,0.4647358336827725
polaris/adme-fang-hppb-1,118,r2,0.4191725232805248
polaris/adme-fang-hppb-1,710,mean_squared_error,0.296697817652117
polaris/adme-fang-hppb-1,710,pearsonr,0.7694470594577738
polaris/adme-fang-hppb-1,710,spearmanr,0.7760715126935551
polaris/adme-fang-hppb-1,710,explained_var,0.5917955825059948
polaris/adme-fang-hppb-1,710,mean_absolute_error,0.4318529652666326
polaris/adme-fang-hppb-1,710,r2,0.5101075951153514
polaris/adme-fang-perm-1,43,mean_squared_error,0.2345725329215754
polaris/adme-fang-perm-1,43,pearsonr,0.7344477772545426
polaris/adme-fang-perm-1,43,spearmanr,0.73070217794932
polaris/adme-fang-perm-1,43,explained_var,0.5278821301770164
polaris/adme-fang-perm-1,43,mean_absolute_error,0.36944028378819527
polaris/adme-fang-perm-1,43,r2,0.5264916220444693
polaris/adme-fang-perm-1,118,mean_squared_error,0.24072691211598413
polaris/adme-fang-perm-1,118,pearsonr,0.730392752746941
polaris/adme-fang-perm-1,118,spearmanr,0.7288330304173382
polaris/adme-fang-perm-1,118,explained_var,0.5142574764026564
polaris/adme-fang-perm-1,118,mean_absolute_error,0.37529504447930984
polaris/adme-fang-perm-1,118,r2,0.5140683853024164
polaris/adme-fang-perm-1,710,mean_squared_error,0.22757639313144298
polaris/adme-fang-perm-1,710,pearsonr,0.7469942053025161
polaris/adme-fang-perm-1,710,spearmanr,0.7494027056046308
polaris/adme-fang-perm-1,710,explained_var,0.5413433577513466
polaris/adme-fang-perm-1,710,mean_absolute_error,0.37091106597153745
polaris/adme-fang-perm-1,710,r2,0.5406140376688224
polaris/adme-fang-rclint-1,43,mean_squared_error,0.3233701094381028
polaris/adme-fang-rclint-1,43,pearsonr,0.6689433575050691
polaris/adme-fang-rclint-1,43,spearmanr,0.6635227456212405
polaris/adme-fang-rclint-1,43,explained_var,0.4273058070352381
polaris/adme-fang-rclint-1,43,mean_absolute_error,0.45158767597659955
polaris/adme-fang-rclint-1,43,r2,0.4272005349215404
polaris/adme-fang-rclint-1,118,mean_squared_error,0.31544378074497353
polaris/adme-fang-rclint-1,118,pearsonr,0.6734960024867922
polaris/adme-fang-rclint-1,118,spearmanr,0.6693109411692915
polaris/adme-fang-rclint-1,118,explained_var,0.4416961675204577
polaris/adme-fang-rclint-1,118,mean_absolute_error,0.4420014228423112
polaris/adme-fang-rclint-1,118,r2,0.4412407838590494
polaris/adme-fang-rclint-1,710,mean_squared_error,0.32656165052872005
polaris/adme-fang-rclint-1,710,pearsonr,0.6645909635660233
polaris/adme-fang-rclint-1,710,spearmanr,0.6609858046977242
polaris/adme-fang-rclint-1,710,explained_var,0.4226428738406942
polaris/adme-fang-rclint-1,710,mean_absolute_error,0.45098895888369706
polaris/adme-fang-rclint-1,710,r2,0.421547220109426
polaris/adme-fang-rppb-1,43,mean_squared_error,0.38429111627276
polaris/adme-fang-rppb-1,43,pearsonr,0.7794113851752211
polaris/adme-fang-rppb-1,43,spearmanr,0.7817391304347826
polaris/adme-fang-rppb-1,43,explained_var,0.5863537970629542
polaris/adme-fang-rppb-1,43,mean_absolute_error,0.4679711790060265
polaris/adme-fang-rppb-1,43,r2,0.5674744984313767
