task,seed,metric,value
polaris/adme-fang-hclint-1,42,mean_absolute_error,0.3739139846550444
polaris/adme-fang-hclint-1,42,pearsonr,0.6725241315821648
polaris/adme-fang-hclint-1,42,r2,0.4326056182743412
polaris/adme-fang-hclint-1,42,explained_var,0.4326401402318202
polaris/adme-fang-hclint-1,42,mean_squared_error,0.22038161382926735
polaris/adme-fang-hclint-1,42,spearmanr,0.6762489004877957
polaris/adme-fang-hclint-1,117,mean_absolute_error,0.36862490859383606
polaris/adme-fang-hclint-1,117,pearsonr,0.6790479441232153
polaris/adme-fang-hclint-1,117,r2,0.4392233219926597
polaris/adme-fang-hclint-1,117,explained_var,0.44091845382527994
polaris/adme-fang-hclint-1,117,mean_squared_error,0.21781123197097085
polaris/adme-fang-hclint-1,117,spearmanr,0.6773242291235809
polaris/adme-fang-hclint-1,709,mean_absolute_error,0.37512015844232355
polaris/adme-fang-hclint-1,709,pearsonr,0.6708763598596256
polaris/adme-fang-hclint-1,709,r2,0.425404292143718
polaris/adme-fang-hclint-1,709,explained_var,0.42652505215530445
polaris/adme-fang-hclint-1,709,mean_squared_error,0.22317868042966407
polaris/adme-fang-hclint-1,709,spearmanr,0.6722091532326427
polaris/adme-fang-hppb-1,42,mean_absolute_error,0.4668888785642932
polaris/adme-fang-hppb-1,42,pearsonr,0.7986322437329227
polaris/adme-fang-hppb-1,42,r2,0.5116045673952974
polaris/adme-fang-hppb-1,42,explained_var,0.6112903013307981
polaris/adme-fang-hppb-1,42,mean_squared_error,0.29579119325027453
polaris/adme-fang-hppb-1,42,spearmanr,0.8113683269152939
polaris/adme-fang-hppb-1,117,mean_absolute_error,0.47238834321404266
polaris/adme-fang-hppb-1,117,pearsonr,0.7971408387617803
polaris/adme-fang-hppb-1,117,r2,0.517634249445216
polaris/adme-fang-hppb-1,117,explained_var,0.6025112219917453
polaris/adme-fang-hppb-1,117,mean_squared_error,0.2921393842254577
polaris/adme-fang-hppb-1,117,spearmanr,0.8015891229750719
