task,seed,metric,value
polaris/adme-fang-hclint-1,42,mean_absolute_error,0.38233345721744627
polaris/adme-fang-hclint-1,42,mean_squared_error,0.23934636018320737
polaris/adme-fang-hclint-1,42,r2,0.3837789927446178
polaris/adme-fang-hclint-1,42,pearsonr,0.6528889730096203
polaris/adme-fang-hclint-1,42,explained_var,0.38472659905301654
polaris/adme-fang-hclint-1,42,spearmanr,0.6737289323035668
polaris/adme-fang-hclint-1,117,mean_absolute_error,0.3853819399942154
polaris/adme-fang-hclint-1,117,mean_squared_error,0.24017149120938672
polaris/adme-fang-hclint-1,117,r2,0.3816546108585481
polaris/adme-fang-hclint-1,117,pearsonr,0.6434248940848823
polaris/adme-fang-hclint-1,117,explained_var,0.3826922232357898
polaris/adme-fang-hclint-1,117,spearmanr,0.6609787165369653
polaris/adme-fang-hclint-1,709,mean_absolute_error,0.38974289949459323
polaris/adme-fang-hclint-1,709,mean_squared_error,0.24450869579152873
polaris/adme-fang-hclint-1,709,r2,0.3704880463274042
polaris/adme-fang-hclint-1,709,pearsonr,0.6400765934274161
polaris/adme-fang-hclint-1,709,explained_var,0.37069853905053707
polaris/adme-fang-hclint-1,709,spearmanr,0.6644046061462874
polaris/adme-fang-hppb-1,42,mean_absolute_error,0.4627639810623843
polaris/adme-fang-hppb-1,42,mean_squared_error,0.30043257838951404
polaris/adme-fang-hppb-1,42,r2,0.5039409474002089
polaris/adme-fang-hppb-1,42,pearsonr,0.7373287155224773
polaris/adme-fang-hppb-1,42,explained_var,0.5411329507053289
polaris/adme-fang-hppb-1,42,spearmanr,0.7497899021042085
polaris/adme-fang-hppb-1,117,mean_absolute_error,0.4938505109668115
polaris/adme-fang-hppb-1,117,mean_squared_error,0.34750321564155
polaris/adme-fang-hppb-1,117,r2,0.4262202959126724
polaris/adme-fang-hppb-1,117,pearsonr,0.6933023566634418
polaris/adme-fang-hppb-1,117,explained_var,0.4805990785298686
polaris/adme-fang-hppb-1,117,spearmanr,0.6801130740301268
polaris/adme-fang-hppb-1,709,mean_absolute_error,0.4389252749795026
polaris/adme-fang-hppb-1,709,mean_squared_error,0.2876157937173717
polaris/adme-fang-hppb-1,709,r2,0.5251033729131817
polaris/adme-fang-hppb-1,709,pearsonr,0.7605063410778831
polaris/adme-fang-hppb-1,709,explained_var,0.5777847773914306
polaris/adme-fang-hppb-1,709,spearmanr,0.7618611069679201
polaris/adme-fang-perm-1,42,mean_absolute_error,0.3995855889772693
polaris/adme-fang-perm-1,42,mean_squared_error,0.259212392066492
polaris/adme-fang-perm-1,42,r2,0.4767535747486127
polaris/adme-fang-perm-1,42,pearsonr,0.6953485076644028
polaris/adme-fang-perm-1,42,explained_var,0.47741738612859586
polaris/adme-fang-perm-1,42,spearmanr,0.6832585681420411
polaris/adme-fang-perm-1,117,mean_absolute_error,0.39571132584226615
polaris/adme-fang-perm-1,117,mean_squared_error,0.25724159277284947
polaris/adme-fang-perm-1,117,r2,0.48073183241239703
polaris/adme-fang-perm-1,117,pearsonr,0.6996790563088443
polaris/adme-fang-perm-1,117,explained_var,0.4814438137344943
polaris/adme-fang-perm-1,117,spearmanr,0.6933065540399933
polaris/adme-fang-perm-1,709,mean_absolute_error,0.391352360392791
polaris/adme-fang-perm-1,709,mean_squared_error,0.2534758720090233
polaris/adme-fang-perm-1,709,r2,0.48833332056833956
polaris/adme-fang-perm-1,709,pearsonr,0.708397603776896
polaris/adme-fang-perm-1,709,explained_var,0.4892906350384889
polaris/adme-fang-perm-1,709,spearmanr,0.6988199588448878
polaris/adme-fang-rclint-1,42,mean_absolute_error,0.45544373777173247
polaris/adme-fang-rclint-1,42,mean_squared_error,0.3322651843123192
polaris/adme-fang-rclint-1,42,r2,0.41144430396179776
polaris/adme-fang-rclint-1,42,pearsonr,0.6565686658822266
polaris/adme-fang-rclint-1,42,explained_var,0.4120070920110456
polaris/adme-fang-rclint-1,42,spearmanr,0.6485065889955767
