task,seed,metric,value
polaris/adme-fang-hclint-1,43,spearmanr,0.6617691983641977
polaris/adme-fang-hclint-1,43,mean_squared_error,0.24211398459877392
polaris/adme-fang-hclint-1,43,r2,0.3766534684468613
polaris/adme-fang-hclint-1,43,pearsonr,0.6394871241384373
polaris/adme-fang-hclint-1,43,explained_var,0.3768034797478964
polaris/adme-fang-hclint-1,43,mean_absolute_error,0.3841738127634024
polaris/adme-fang-hclint-1,118,spearmanr,0.6648725277029829
polaris/adme-fang-hclint-1,118,mean_squared_error,0.24186428776847518
polaris/adme-fang-hclint-1,118,r2,0.377296337768782
polaris/adme-fang-hclint-1,118,pearsonr,0.6415519642456573
polaris/adme-fang-hclint-1,118,explained_var,0.3773220142903624
polaris/adme-fang-hclint-1,118,mean_absolute_error,0.3907548629841431
polaris/adme-fang-hclint-1,710,spearmanr,0.6662528157985239
polaris/adme-fang-hclint-1,710,mean_squared_error,0.24700459922797355
polaris/adme-fang-hclint-1,710,r2,0.3640620947130119
polaris/adme-fang-hclint-1,710,pearsonr,0.6338150488373127
polaris/adme-fang-hclint-1,710,explained_var,0.3644256244208952
polaris/adme-fang-hclint-1,710,mean_absolute_error,0.3922456134362213
polaris/adme-fang-hppb-1,43,spearmanr,0.7285506935465389
polaris/adme-fang-hppb-1,43,mean_squared_error,0.3188311075855479
polaris/adme-fang-hppb-1,43,r2,0.4735622281177041
polaris/adme-fang-hppb-1,43,pearsonr,0.7148903778195936
polaris/adme-fang-hppb-1,43,explained_var,0.5109466428225529
polaris/adme-fang-hppb-1,43,mean_absolute_error,0.4684081997527028
polaris/adme-fang-hppb-1,118,spearmanr,0.7540683038280557
polaris/adme-fang-hppb-1,118,mean_squared_error,0.2814367057856737
polaris/adme-fang-hppb-1,118,r2,0.5353059698544324
polaris/adme-fang-hppb-1,118,pearsonr,0.7584923002521526
polaris/adme-fang-hppb-1,118,explained_var,0.574909798819023
polaris/adme-fang-hppb-1,118,mean_absolute_error,0.4285119822320716
polaris/adme-fang-hppb-1,710,spearmanr,0.7435250995800039
