task,seed,metric,value
polaris/adme-fang-hclint-1,42,r2,0.35678240516142035
polaris/adme-fang-hclint-1,42,mean_squared_error,0.24983210295946362
polaris/adme-fang-hclint-1,42,spearmanr,0.6312700985045968
polaris/adme-fang-hclint-1,42,mean_absolute_error,0.3932062223306544
polaris/adme-fang-hclint-1,42,explained_var,0.3581079117374987
polaris/adme-fang-hclint-1,42,pearsonr,0.6318542546348642
polaris/adme-fang-hclint-1,117,r2,0.34411231674428566
polaris/adme-fang-hclint-1,117,mean_squared_error,0.25475329115352957
polaris/adme-fang-hclint-1,117,spearmanr,0.6326338724725715
polaris/adme-fang-hclint-1,117,mean_absolute_error,0.39151185374192704
polaris/adme-fang-hclint-1,117,explained_var,0.34540240496329255
polaris/adme-fang-hclint-1,117,pearsonr,0.6212094159133792
polaris/adme-fang-hclint-1,709,r2,0.3543022848608567
polaris/adme-fang-hclint-1,709,mean_squared_error,0.25079540631940633
polaris/adme-fang-hclint-1,709,spearmanr,0.6437395870807542
polaris/adme-fang-hclint-1,709,mean_absolute_error,0.39097029308816983
polaris/adme-fang-hclint-1,709,explained_var,0.3588866940858225
polaris/adme-fang-hclint-1,709,pearsonr,0.6313954370660331
polaris/adme-fang-hppb-1,42,r2,0.48985906940864454
polaris/adme-fang-hppb-1,42,mean_squared_error,0.3089611091993034
polaris/adme-fang-hppb-1,42,spearmanr,0.6863778765543316
polaris/adme-fang-hppb-1,42,mean_absolute_error,0.4485945104435538
polaris/adme-fang-hppb-1,42,explained_var,0.5178511179998213
polaris/adme-fang-hppb-1,42,pearsonr,0.7227091324600907
polaris/adme-fang-hppb-1,117,r2,0.4641304550668418
polaris/adme-fang-hppb-1,117,mean_squared_error,0.3245433547093624
polaris/adme-fang-hppb-1,117,spearmanr,0.6843914757539739
polaris/adme-fang-hppb-1,117,mean_absolute_error,0.4682034074590822
polaris/adme-fang-hppb-1,117,explained_var,0.4964414079452887
polaris/adme-fang-hppb-1,117,pearsonr,0.7050088523434077
polaris/adme-fang-hppb-1,709,r2,0.4274893692641969
polaris/adme-fang-hppb-1,709,mean_squared_error,0.34673461565901625
polaris/adme-fang-hppb-1,709,spearmanr,0.6785850734144672
polaris/adme-fang-hppb-1,709,mean_absolute_error,0.47867881654058086
polaris/adme-fang-hppb-1,709,explained_var,0.4724382831774243
polaris/adme-fang-hppb-1,709,pearsonr,0.6933414238599347
polaris/adme-fang-perm-1,42,r2,0.5055614791575649
polaris/adme-fang-perm-1,42,mean_squared_error,0.2449411702255024
polaris/adme-fang-perm-1,42,spearmanr,0.6936778062932262
polaris/adme-fang-perm-1,42,mean_absolute_error,0.3815335432926684
polaris/adme-fang-perm-1,42,explained_var,0.5058035066383956
polaris/adme-fang-perm-1,42,pearsonr,0.7138224939278621
polaris/adme-fang-perm-1,117,r2,0.49343116728397973
polaris/adme-fang-perm-1,117,mean_squared_error,0.250950436616102
polaris/adme-fang-perm-1,117,spearmanr,0.6824490763529354
polaris/adme-fang-perm-1,117,mean_absolute_error,0.38586545933939753
polaris/adme-fang-perm-1,117,explained_var,0.4934355506390219
polaris/adme-fang-perm-1,117,pearsonr,0.7056426127675781
polaris/adme-fang-perm-1,709,r2,0.4928093425403467
polaris/adme-fang-perm-1,709,mean_squared_error,0.25125848397479317
polaris/adme-fang-perm-1,709,spearmanr,0.6781493234923441
polaris/adme-fang-perm-1,709,mean_absolute_error,0.38627733146794546
