task,seed,metric,value
polaris/adme-fang-hclint-1,44,mean_absolute_error,0.3893510371251503
polaris/adme-fang-hclint-1,44,spearmanr,0.6333429977395035
polaris/adme-fang-hclint-1,44,explained_var,0.36000959388097675
polaris/adme-fang-hclint-1,44,pearsonr,0.6239418631777025
polaris/adme-fang-hclint-1,44,mean_squared_error,0.24870855905740774
polaris/adme-fang-hclint-1,44,r2,0.3596750806735549
polaris/adme-fang-hclint-1,119,mean_absolute_error,0.386695342898419
polaris/adme-fang-hclint-1,119,spearmanr,0.6385975273022562
polaris/adme-fang-hclint-1,119,explained_var,0.36845967014810344
polaris/adme-fang-hclint-1,119,pearsonr,0.629111486709728
polaris/adme-fang-hclint-1,119,mean_squared_error,0.24533426775636658
polaris/adme-fang-hclint-1,119,r2,0.36836252920090695
polaris/adme-fang-hclint-1,711,mean_absolute_error,0.38857717018437066
polaris/adme-fang-hclint-1,711,spearmanr,0.6358453706054281
polaris/adme-fang-hclint-1,711,explained_var,0.3720146163896345
polaris/adme-fang-hclint-1,711,pearsonr,0.6319280384137762
polaris/adme-fang-hclint-1,711,mean_squared_error,0.24432824702290468
polaris/adme-fang-hclint-1,711,r2,0.3709526296278328
polaris/adme-fang-hppb-1,44,mean_absolute_error,0.48021696495014105
polaris/adme-fang-hppb-1,44,spearmanr,0.6616242665806447
polaris/adme-fang-hppb-1,44,explained_var,0.4506878043815493
polaris/adme-fang-hppb-1,44,pearsonr,0.6824858700028251
polaris/adme-fang-hppb-1,44,mean_squared_error,0.3629916032038965
polaris/adme-fang-hppb-1,44,r2,0.40064665505900077
polaris/adme-fang-hppb-1,119,mean_absolute_error,0.46412579449366553
polaris/adme-fang-hppb-1,119,spearmanr,0.7144930878824697
polaris/adme-fang-hppb-1,119,explained_var,0.5067258291374365
polaris/adme-fang-hppb-1,119,pearsonr,0.7124658379444486
polaris/adme-fang-hppb-1,119,mean_squared_error,0.3177155399735614
polaris/adme-fang-hppb-1,119,r2,0.47540419684053536
polaris/adme-fang-hppb-1,711,mean_absolute_error,0.4971888940334618
polaris/adme-fang-hppb-1,711,spearmanr,0.673848271505922
polaris/adme-fang-hppb-1,711,explained_var,0.44615532355560816
polaris/adme-fang-hppb-1,711,pearsonr,0.6747571987640371
polaris/adme-fang-hppb-1,711,mean_squared_error,0.3670559567942842
polaris/adme-fang-hppb-1,711,r2,0.3939358003231861
polaris/adme-fang-perm-1,44,mean_absolute_error,0.3786396533563435
polaris/adme-fang-perm-1,44,spearmanr,0.6912483724433275
polaris/adme-fang-perm-1,44,explained_var,0.5124328902098332
polaris/adme-fang-perm-1,44,pearsonr,0.7169265255125046
polaris/adme-fang-perm-1,44,mean_squared_error,0.24153748144652967
polaris/adme-fang-perm-1,44,r2,0.5124321691429761
polaris/adme-fang-perm-1,119,mean_absolute_error,0.3873607626769746
polaris/adme-fang-perm-1,119,spearmanr,0.6709447294214321
polaris/adme-fang-perm-1,119,explained_var,0.49791568827141863
polaris/adme-fang-perm-1,119,pearsonr,0.7076094327393566
polaris/adme-fang-perm-1,119,mean_squared_error,0.24878434004002475
polaris/adme-fang-perm-1,119,r2,0.49780365226105205
polaris/adme-fang-perm-1,711,mean_absolute_error,0.3836460374009484
polaris/adme-fang-perm-1,711,spearmanr,0.6883526900665633
