dataset,arm,seed,metric,descriptor_R2,linear_Z,linear_Zhat,linear_R,linear_D,mlp_Z,mlp_Zhat,mlp_R,mlp_D
BACE,unsup,0,roc_auc,0.639,0.846,0.8528,0.6015,0.8466,0.8613,0.8663,0.7228,0.8522
BACE,unsup,1,roc_auc,0.6317,0.8159,0.8485,0.5821,0.8466,0.8553,0.8553,0.7256,0.8522
BACE,unsup,2,roc_auc,0.616,0.8182,0.8502,0.57,0.8466,0.843,0.8564,0.7064,0.8522
BACE,sup_desc,0,roc_auc,0.8111,0.8373,0.8461,0.5995,0.8466,0.8602,0.8637,0.7064,0.8522
BACE,sup_desc,1,roc_auc,0.7928,0.8329,0.8488,0.5886,0.8466,0.8561,0.8569,0.7312,0.8522
BACE,sup_desc,2,roc_auc,0.8268,0.8293,0.8512,0.5826,0.8466,0.8467,0.8563,0.7181,0.8522
BACE,ecfp,0,roc_auc,0.1692,0.8318,0.8347,0.6044,0.8466,0.854,0.8563,0.7537,0.8522
QM7,unsup,0,rmse,0.7276,205.4072,199.553,230.0469,200.5419,211.7439,200.3792,225.6902,202.3059
QM7,unsup,1,rmse,0.7212,209.4536,199.1984,230.1448,200.5419,211.7282,204.2907,225.1078,202.3059
QM7,unsup,2,rmse,0.7119,203.4428,199.7914,229.1032,200.5419,210.5518,204.8835,225.8232,202.3059
QM7,sup_desc,0,rmse,0.8785,201.2945,198.9507,225.2348,200.5419,208.114,202.3316,223.897,202.3059
QM7,sup_desc,1,rmse,0.8787,199.8516,197.2889,226.2967,200.5419,208.4773,204.3428,225.5578,202.3059
QM7,sup_desc,2,rmse,0.8851,198.1868,197.9604,225.9012,200.5419,207.6019,206.6806,222.2646,202.3059
QM7,ecfp,0,rmse,-0.0006,363.6953,202.3852,386.4547,200.5419,268.2175,207.4735,337.2717,202.3059
